co_codifa,mese,count
026089019,2008-01-01,3084
023097102,2008-01-01,1661
026664021,2008-01-01,792
026089108,2008-01-01,776
023086150,2008-01-01,768
026089019,2008-02-01,2692
023097102,2008-02-01,1355
027860042,2008-02-01,694
026089108,2008-02-01,641
025680024,2008-02-01,633
026089019,2008-03-01,2203
023097102,2008-03-01,1098
025680024,2008-03-01,597
026089108,2008-03-01,595
027860042,2008-03-01,568
026089019,2008-04-01,2199
023097102,2008-04-01,1039
025680024,2008-04-01,637
026089108,2008-04-01,586
027860042,2008-04-01,575
026089019,2008-05-01,2134
023097102,2008-05-01,965
025680024,2008-05-01,651
026089108,2008-05-01,481
027860042,2008-05-01,473
026089019,2008-06-01,1796
023097102,2008-06-01,772
025680024,2008-06-01,647
025300029,2008-06-01,459
027860042,2008-06-01,419
026089019,2008-07-01,1933
025680024,2008-07-01,864
023097102,2008-07-01,797
025300029,2008-07-01,608
026089108,2008-07-01,474
026089019,2008-08-01,1240
025680024,2008-08-01,560
023097102,2008-08-01,531
025300029,2008-08-01,365
026664021,2008-08-01,310
026089019,2008-09-01,2180
023097102,2008-09-01,1084
025680024,2008-09-01,790
026089108,2008-09-01,551
025300029,2008-09-01,506
026089019,2008-10-01,2570
023097102,2008-10-01,1336
025680024,2008-10-01,772
027860042,2008-10-01,619
026089108,2008-10-01,599
026089019,2008-11-01,2139
023097102,2008-11-01,968
025680024,2008-11-01,609
026089108,2008-11-01,536
027860042,2008-11-01,483
026089019,2008-12-01,2236
023097102,2008-12-01,1091
025680024,2008-12-01,564
027860042,2008-12-01,514
020601035,2008-12-01,512
026089019,2009-01-01,2576
023097102,2009-01-01,1171
025680024,2009-01-01,725
026089108,2009-01-01,605
020601035,2009-01-01,579
026089019,2009-02-01,2413
023097102,2009-02-01,1199
025680024,2009-02-01,602
026089108,2009-02-01,579
027860042,2009-02-01,559
026089019,2009-03-01,2588
023097102,2009-03-01,1283
025680024,2009-03-01,676
027860042,2009-03-01,644
026089108,2009-03-01,620
026089019,2009-04-01,2303
023097102,2009-04-01,968
025680024,2009-04-01,617
026089108,2009-04-01,550
027860042,2009-04-01,549
026089019,2009-05-01,2053
023097102,2009-05-01,866
025680024,2009-05-01,621
027860042,2009-05-01,525
026664021,2009-05-01,503
026089019,2009-06-01,1957
025680024,2009-06-01,760
023097102,2009-06-01,756
027860042,2009-06-01,491
026089108,2009-06-01,477
026089019,2009-07-01,2052
025680024,2009-07-01,914
023097102,2009-07-01,755
026664021,2009-07-01,574
025300029,2009-07-01,548
026089019,2009-08-01,1397
025680024,2009-08-01,621
023097102,2009-08-01,489
025300029,2009-08-01,401
026664021,2009-08-01,378
026089019,2009-09-01,2350
025680024,2009-09-01,847
023097102,2009-09-01,840
026664021,2009-09-01,535
026089108,2009-09-01,487
026089019,2009-10-01,2747
023097102,2009-10-01,1116
025680024,2009-10-01,689
026089108,2009-10-01,647
027860042,2009-10-01,632
026089019,2009-11-01,2752
023097102,2009-11-01,1100
027860042,2009-11-01,703
025680024,2009-11-01,682
026664021,2009-11-01,602
026089019,2009-12-01,1772
023097102,2009-12-01,808
025680024,2009-12-01,575
027860042,2009-12-01,519
026664021,2009-12-01,501
026089019,2010-01-01,1896
023097102,2010-01-01,847
025680024,2010-01-01,607
025300029,2010-01-01,589
027860042,2010-01-01,531
026089019,2010-02-01,1959
023097102,2010-02-01,824
025680024,2010-02-01,549
027860042,2010-02-01,483
