co_codifa,anno,count
026089019,2008,26406
023097102,2008,12697
025680024,2008,8025
026089108,2008,6381
027860042,2008,6261
026089019,2009,26960
023097102,2009,11351
025680024,2009,8329
027860042,2009,6460
026089108,2009,6128
026089019,2010,21042
023097102,2010,8631
025680024,2010,7275
027860042,2010,5917
026664021,2010,5893
026089019,2011,20574
023097102,2011,7150
025680024,2011,6357
027860042,2011,5992
026664021,2011,5744
026089019,2012,21659
023097102,2012,6009
025680024,2012,5889
027860042,2012,5627
026664021,2012,5482
026089019,2013,23930
027860042,2013,6461
025680024,2013,6321
026664021,2013,6013
023097102,2013,5886
026089019,2014,23979
027860042,2014,6688
026664021,2014,6546
025680024,2014,6180
025300029,2014,6023
026089019,2015,23631
025300029,2015,6775
026664021,2015,6606
025680024,2015,6254
027860042,2015,6028
026089019,2016,22733
027860042,2016,6308
025680024,2016,6012
025300029,2016,5945
026664021,2016,5619
026089019,2017,22866
027860042,2017,6505
025680024,2017,5844
025300029,2017,5751
026664021,2017,5236
026089019,2018,14957
027860042,2018,4406
026664021,2018,3758
025680024,2018,3670
025300029,2018,3401
