co_atc,mese,count
J01CR02,2008-01-01,5288
J01CA04,2008-01-01,3007
J01FA09,2008-01-01,1743
J01MA02,2008-01-01,1236
J01FA10,2008-01-01,1147
J01CR02,2008-02-01,4502
J01CA04,2008-02-01,2376
J01FA09,2008-02-01,1585
J01FA10,2008-02-01,1041
J01MA02,2008-02-01,876
J01CR02,2008-03-01,3818
J01CA04,2008-03-01,1963
J01FA09,2008-03-01,1495
J01FA10,2008-03-01,915
J01MA02,2008-03-01,800
J01CR02,2008-04-01,3711
J01CA04,2008-04-01,1777
J01FA09,2008-04-01,1324
J01FA10,2008-04-01,860
J01MA12,2008-04-01,780
J01CR02,2008-05-01,3524
J01CA04,2008-05-01,1643
J01FA09,2008-05-01,1196
J01MA02,2008-05-01,777
J01FA10,2008-05-01,757
J01CR02,2008-06-01,2840
J01CA04,2008-06-01,1414
J01FA09,2008-06-01,977
J01MA02,2008-06-01,725
J01XX01,2008-06-01,651
J01CR02,2008-07-01,3078
J01CA04,2008-07-01,1396
J01FA09,2008-07-01,988
J01XX01,2008-07-01,871
J01MA02,2008-07-01,845
J01CR02,2008-08-01,1998
J01CA04,2008-08-01,910
J01FA09,2008-08-01,685
J01XX01,2008-08-01,562
J01MA02,2008-08-01,531
J01CR02,2008-09-01,3633
J01CA04,2008-09-01,1833
J01FA09,2008-09-01,1264
J01MA02,2008-09-01,885
J01MA12,2008-09-01,831
J01CR02,2008-10-01,4312
J01CA04,2008-10-01,2274
J01FA09,2008-10-01,1493
J01MA02,2008-10-01,1015
J01FA10,2008-10-01,984
J01CR02,2008-11-01,3659
J01CA04,2008-11-01,1706
J01FA09,2008-11-01,1269
J01MA02,2008-11-01,783
J01FA10,2008-11-01,776
J01CR02,2008-12-01,3832
J01CA04,2008-12-01,1881
J01FA09,2008-12-01,1254
J01FA10,2008-12-01,840
J01MA02,2008-12-01,799
J01CR02,2009-01-01,4488
J01CA04,2009-01-01,2086
J01FA09,2009-01-01,1422
J01FA10,2009-01-01,883
J01MA02,2009-01-01,865
J01CR02,2009-02-01,4279
J01CA04,2009-02-01,2084
J01FA09,2009-02-01,1476
J01MA02,2009-02-01,893
J01FA10,2009-02-01,890
J01CR02,2009-03-01,4606
J01CA04,2009-03-01,2234
J01FA09,2009-03-01,1594
J01MA02,2009-03-01,1017
J01FA10,2009-03-01,1005
J01CR02,2009-04-01,3956
J01CA04,2009-04-01,1743
J01FA09,2009-04-01,1299
J01MA02,2009-04-01,912
J01FA10,2009-04-01,847
J01CR02,2009-05-01,3566
J01CA04,2009-05-01,1493
J01FA09,2009-05-01,1268
J01MA02,2009-05-01,875
J01FA10,2009-05-01,788
J01CR02,2009-06-01,3311
J01CA04,2009-06-01,1317
J01FA09,2009-06-01,1024
J01MA02,2009-06-01,832
J01XX01,2009-06-01,764
J01CR02,2009-07-01,3264
J01CA04,2009-07-01,1321
J01FA09,2009-07-01,1051
J01MA02,2009-07-01,996
J01XX01,2009-07-01,922
J01CR02,2009-08-01,2341
J01CA04,2009-08-01,853
J01FA09,2009-08-01,698
J01MA02,2009-08-01,627
J01XX01,2009-08-01,626
J01CR02,2009-09-01,3910
J01CA04,2009-09-01,1536
J01FA09,2009-09-01,1202
J01MA02,2009-09-01,985
J01XX01,2009-09-01,852
J01CR02,2009-10-01,4947
J01CA04,2009-10-01,2032
J01FA09,2009-10-01,1729
J01MA02,2009-10-01,1085
J01FA10,2009-10-01,1070
J01CR02,2009-11-01,5086
J01FA09,2009-11-01,2118
J01CA04,2009-11-01,2002
J01FA10,2009-11-01,1248
J01MA12,2009-11-01,1140
J01CR02,2009-12-01,3570
J01CA04,2009-12-01,1395
J01FA09,2009-12-01,1265
J01FA10,2009-12-01,893
J01MA02,2009-12-01,873
J01CR02,2010-01-01,3719
J01CA04,2010-01-01,1525
J01FA09,2010-01-01,1219
J01FA10,2010-01-01,888
J01MA02,2010-01-01,876
J01CR02,2010-02-01,4015
J01CA04,2010-02-01,1499
