co_codifa,mese,count
026664021,2011-06-01,759
023097102,2011-06-01,688
033940038,2011-06-01,643
026089019,2011-07-01,1858
025300029,2011-07-01,1187
026664021,2011-07-01,825
025680024,2011-07-01,749
023097102,2011-07-01,636
026089019,2011-08-01,1528
025300029,2011-08-01,843
026664021,2011-08-01,613
025680024,2011-08-01,576
023097102,2011-08-01,523
026089019,2011-09-01,2023
025300029,2011-09-01,1044
026664021,2011-09-01,808
023097102,2011-09-01,694
025680024,2011-09-01,691
026089019,2011-10-01,2282
025300029,2011-10-01,870
023097102,2011-10-01,840
026664021,2011-10-01,815
033940038,2011-10-01,770
026089019,2011-11-01,2388
025300029,2011-11-01,888
026664021,2011-11-01,876
023097102,2011-11-01,837
033940038,2011-11-01,818
026089019,2011-12-01,2197
025300029,2011-12-01,858
026664021,2011-12-01,775
023097102,2011-12-01,766
033940038,2011-12-01,760
026089019,2012-01-01,2925
025300029,2012-01-01,1073
026664021,2012-01-01,955
023097102,2012-01-01,925
033940038,2012-01-01,912
026089019,2012-02-01,2545
025300029,2012-02-01,854
033940038,2012-02-01,852
026664021,2012-02-01,832
023097102,2012-02-01,773
026089019,2012-03-01,2417
025300029,2012-03-01,962
026664021,2012-03-01,836
033940038,2012-03-01,785
023097102,2012-03-01,728
026089019,2012-04-01,2003
025300029,2012-04-01,908
026664021,2012-04-01,701
033940038,2012-04-01,676
023097102,2012-04-01,596
026089019,2012-05-01,2408
025300029,2012-05-01,1078
026664021,2012-05-01,866
033940038,2012-05-01,722
023097102,2012-05-01,673
026089019,2012-06-01,1996
025300029,2012-06-01,938
026664021,2012-06-01,762
033940038,2012-06-01,652
025680024,2012-06-01,607
026089019,2012-07-01,2144
025300029,2012-07-01,1293
026664021,2012-07-01,827
025680024,2012-07-01,709
033940038,2012-07-01,634
026089019,2012-08-01,1539
025300029,2012-08-01,1093
026664021,2012-08-01,605
025680024,2012-08-01,532
033940038,2012-08-01,398
026089019,2012-09-01,2238
025300029,2012-09-01,1215
026664021,2012-09-01,816
023097102,2012-09-01,635
033940038,2012-09-01,624
026089019,2012-10-01,2525
025300029,2012-10-01,1188
026664021,2012-10-01,877
033940038,2012-10-01,856
023097102,2012-10-01,763
026089019,2012-11-01,2584
025300029,2012-11-01,1028
026664021,2012-11-01,900
033940038,2012-11-01,839
023097102,2012-11-01,750
026089019,2012-12-01,2460
025300029,2012-12-01,1000
033940038,2012-12-01,768
026664021,2012-12-01,746
023097102,2012-12-01,655
026089019,2013-01-01,3639
025300029,2013-01-01,1394
033940038,2013-01-01,1128
026664021,2013-01-01,1077
023097102,2013-01-01,935
026089019,2013-02-01,3090
025300029,2013-02-01,1129
033940038,2013-02-01,1036
026664021,2013-02-01,909
025202058,2013-02-01,763
026089019,2013-03-01,2844
025300029,2013-03-01,1173
026664021,2013-03-01,957
033940038,2013-03-01,951
023097102,2013-03-01,754
026089019,2013-04-01,2631
025300029,2013-04-01,1198
026664021,2013-04-01,832
033940038,2013-04-01,773
023097102,2013-04-01,640
026089019,2013-05-01,2598
025300029,2013-05-01,1329
026664021,2013-05-01,893
033940038,2013-05-01,746
025680024,2013-05-01,722
026089019,2013-06-01,2262
025300029,2013-06-01,1204
026664021,2013-06-01,792
033940038,2013-06-01,686
025680024,2013-06-01,577
026089019,2013-07-01,2431
025300029,2013-07-01,1514
026664021,2013-07-01,927
025680024,2013-07-01,815
033940038,2013-07-01,725
026089019,2013-08-01,1731
025300029,2013-08-01,1047
026664021,2013-08-01,721
025680024,2013-08-01,614
033940038,2013-08-01,472
026089019,2013-09-01,2671
025300029,2013-09-01,1284
026664021,2013-09-01,891
033940038,2013-09-01,743
025680024,2013-09-01,732
026089019,2013-10-01,2886
025300029,2013-10-01,1272
026664021,2013-10-01,1042
033940038,2013-10-01,863
023097102,2013-10-01,761
026089019,2013-11-01,2654
025300029,2013-11-01,1129
026664021,2013-11-01,895
033940038,2013-11-01,774
025680024,2013-11-01,641
026089019,2013-12-01,2898
025300029,2013-12-01,1201
026664021,2013-12-01,903
033940038,2013-12-01,875
023097102,2013-12-01,676
026089019,2014-01-01,3734
025300029,2014-01-01,1481
033940038,2014-01-01,1182
026664021,2014-01-01,1139
025202058,2014-01-01,925
026089019,2014-02-01,3048
025300029,2014-02-01,1174
026664021,2014-02-01,1051
033940038,2014-02-01,981
025202058,2014-02-01,796
026089019,2014-03-01,3113
025300029,2014-03-01,1296
026664021,2014-03-01,1101
033940038,2014-03-01,1031
023097102,2014-03-01,717
026089019,2014-04-01,2642
025300029,2014-04-01,1248
026664021,2014-04-01,942
033940038,2014-04-01,855
025680024,2014-04-01,644
026089019,2014-05-01,2686
025300029,2014-05-01,1480
026664021,2014-05-01,949
033940038,2014-05-01,941
025680024,2014-05-01,735
026089019,2014-06-01,2504
025300029,2014-06-01,1396
026664021,2014-06-01,961
033940038,2014-06-01,767
025680024,2014-06-01,702
026089019,2014-07-01,2605
025300029,2014-07-01,1712
026664021,2014-07-01,1083
025680024,2014-07-01,876
033940038,2014-07-01,734
026089019,2014-08-01,1793
025300029,2014-08-01,1186
026664021,2014-08-01,726
025680024,2014-08-01,653
033940038,2014-08-01,471
026089019,2014-09-01,2817
025300029,2014-09-01,1549
026664021,2014-09-01,1089
033940038,2014-09-01,852
025680024,2014-09-01,832
026089019,2014-10-01,3054
025300029,2014-10-01,1327
026664021,2014-10-01,1124
033940038,2014-10-01,912
025680024,2014-10-01,765
026089019,2014-11-01,2716
025300029,2014-11-01,1206
026664021,2014-11-01,1021
033940038,2014-11-01,785
025680024,2014-11-01,632
026089019,2014-12-01,3051
025300029,2014-12-01,1262
026664021,2014-12-01,1007
033940038,2014-12-01,888
025202058,2014-12-01,756
026089019,2015-01-01,3929
025300029,2015-01-01,1364
026664021,2015-01-01,1303
033940038,2015-01-01,1254
025202058,2015-01-01,1088
026089019,2015-02-01,3325
025300029,2015-02-01,1208
026664021,2015-02-01,1139
033940038,2015-02-01,1088
025202058,2015-02-01,893
026089019,2015-03-01,3357
025300029,2015-03-01,1431
026664021,2015-03-01,1201
033940038,2015-03-01,1135
025202058,2015-03-01,860
026089019,2015-04-01,2570
025300029,2015-04-01,1288
026664021,2015-04-01,973
033940038,2015-04-01,879
025202058,2015-04-01,644
026089019,2015-05-01,2460
025300029,2015-05-01,1513
026664021,2015-05-01,917
025680024,2015-05-01,754
033940038,2015-05-01,751
026089019,2015-06-01,2465
025300029,2015-06-01,1529
026664021,2015-06-01,939
025680024,2015-06-01,788
033940038,2015-06-01,701
026089019,2015-07-01,2549
025300029,2015-07-01,1754
026664021,2015-07-01,1026
025680024,2015-07-01,1011
033940038,2015-07-01,680
026089019,2015-08-01,1760
025300029,2015-08-01,1455
026664021,2015-08-01,777
025680024,2015-08-01,699
033940038,2015-08-01,466
026089019,2015-09-01,2557
025300029,2015-09-01,1686
026664021,2015-09-01,1037
025680024,2015-09-01,794
033940038,2015-09-01,743
026089019,2015-10-01,2843
025300029,2015-10-01,1412
026664021,2015-10-01,1072
033940038,2015-10-01,827
025680024,2015-10-01,724
026089019,2015-11-01,2810
025300029,2015-11-01,1352
026664021,2015-11-01,978
033940038,2015-11-01,816
025680024,2015-11-01,726
026089019,2015-12-01,2928
025300029,2015-12-01,1413
026664021,2015-12-01,1007
033940038,2015-12-01,796
025202058,2015-12-01,738
026089019,2016-01-01,3208
025300029,2016-01-01,1429
026664021,2016-01-01,1031
033940038,2016-01-01,939
025202058,2016-01-01,901
026089019,2016-02-01,3122
025300029,2016-02-01,1372
026664021,2016-02-01,1038
033940038,2016-02-01,1001
025202058,2016-02-01,792
026089019,2016-03-01,3300
025300029,2016-03-01,1422
026664021,2016-03-01,1004
