co_atc,mese,count
J01CR02,2008-01-01,5367
J01CA04,2008-01-01,3217
J01FA09,2008-01-01,1703
J01MA02,2008-01-01,1620
J01MA12,2008-01-01,1463
J01CR02,2008-02-01,4421
J01CA04,2008-02-01,2597
J01FA09,2008-02-01,1725
J01MA02,2008-02-01,1382
J01MA12,2008-02-01,1377
J01CR02,2008-03-01,3968
J01CA04,2008-03-01,2331
J01FA09,2008-03-01,1580
J01MA12,2008-03-01,1325
J01MA02,2008-03-01,1210
J01CR02,2008-04-01,3871
J01CA04,2008-04-01,2215
J01FA09,2008-04-01,1419
J01MA02,2008-04-01,1280
J01MA12,2008-04-01,1246
J01CR02,2008-05-01,3486
J01CA04,2008-05-01,1978
J01FA09,2008-05-01,1302
J01MA02,2008-05-01,1230
J01MA12,2008-05-01,1222
J01CR02,2008-06-01,3180
J01CA04,2008-06-01,1693
A07AA11,2008-06-01,1269
J01MA02,2008-06-01,1234
J01FA09,2008-06-01,1157
J01CR02,2008-07-01,3571
J01CA04,2008-07-01,1816
A07AA11,2008-07-01,1468
J01MA02,2008-07-01,1283
J01MA12,2008-07-01,1114
J01CR02,2008-08-01,2254
J01CA04,2008-08-01,1142
A07AA11,2008-08-01,927
J01MA02,2008-08-01,897
J01FA09,2008-08-01,709
J01CR02,2008-09-01,4030
J01CA04,2008-09-01,2092
J01MA02,2008-09-01,1382
J01FA09,2008-09-01,1339
A07AA11,2008-09-01,1307
J01CR02,2008-10-01,4741
J01CA04,2008-10-01,2677
J01FA09,2008-10-01,1657
J01MA02,2008-10-01,1525
J01MA12,2008-10-01,1467
J01CR02,2008-11-01,3764
J01CA04,2008-11-01,2139
J01FA09,2008-11-01,1327
J01MA02,2008-11-01,1309
J01MA12,2008-11-01,1214
J01CR02,2008-12-01,4430
J01CA04,2008-12-01,2330
J01FA09,2008-12-01,1470
J01MA12,2008-12-01,1362
J01MA02,2008-12-01,1352
J01CR02,2009-01-01,4987
J01CA04,2009-01-01,2471
J01FA09,2009-01-01,1686
J01MA02,2009-01-01,1475
J01MA12,2009-01-01,1475
A07AA11,2009-01-01,1345
J01CR02,2009-02-01,4545
J01CA04,2009-02-01,2284
J01FA09,2009-02-01,1545
J01MA12,2009-02-01,1384
J01MA02,2009-02-01,1373
J01CR02,2009-03-01,5046
J01CA04,2009-03-01,2503
J01FA09,2009-03-01,1713
J01MA12,2009-03-01,1707
J01MA02,2009-03-01,1642
J01CR02,2009-04-01,4285
J01CA04,2009-04-01,2052
J01FA09,2009-04-01,1423
J01MA02,2009-04-01,1392
J01MA12,2009-04-01,1341
J01CR02,2009-05-01,3882
J01CA04,2009-05-01,1819
J01MA02,2009-05-01,1348
J01FA09,2009-05-01,1307
J01MA12,2009-05-01,1276
J01CR02,2009-06-01,3768
J01CA04,2009-06-01,1747
J01MA02,2009-06-01,1378
A07AA11,2009-06-01,1330
J01MA12,2009-06-01,1178
J01CR02,2009-07-01,3916
J01CA04,2009-07-01,1742
A07AA11,2009-07-01,1598
J01MA02,2009-07-01,1539
J01MA12,2009-07-01,1171
J01CR02,2009-08-01,2753
J01CA04,2009-08-01,1110
J01MA02,2009-08-01,1055
A07AA11,2009-08-01,1009
J01MA12,2009-08-01,845
J01CR02,2009-09-01,4252
J01CA04,2009-09-01,1901
J01MA02,2009-09-01,1595
J01MA12,2009-09-01,1328
J01FA09,2009-09-01,1324
J01CR02,2009-10-01,5457
J01CA04,2009-10-01,2390
J01FA09,2009-10-01,1737
J01MA02,2009-10-01,1682
J01MA12,2009-10-01,1679
J01CR02,2009-11-01,5521
J01CA04,2009-11-01,2318
J01FA09,2009-11-01,2303
J01MA12,2009-11-01,1904
J01MA02,2009-11-01,1683
J01CR02,2009-12-01,4348
J01CA04,2009-12-01,1789
J01FA09,2009-12-01,1496
J01MA02,2009-12-01,1461
J01MA12,2009-12-01,1442
J01CR02,2010-01-01,4573
J01CA04,2010-01-01,1861
J01MA02,2010-01-01,1388
J01FA09,2010-01-01,1387
A07AA11,2010-01-01,1375
J01CR02,2010-02-01,4589
J01CA04,2010-02-01,1809
J01MA12,2010-02-01,1527
J01MA02,2010-02-01,1458
J01FA09,2010-02-01,1452
J01CR02,2010-03-01,5351
J01CA04,2010-03-01,2144
J01FA09,2010-03-01,1784
