co_atc,anno,count
J01CR02,2008,30673
A07AA11,2008,29595
J01MA12,2008,25613
J01MA02,2008,24133
J01CA04,2008,18280
J01CR02,2009,33686
A07AA11,2009,31524
J01MA12,2009,27165
J01MA02,2009,26659
J01DD04,2009,18462
J01CR02,2010,35288
A07AA11,2010,32496
J01MA12,2010,28664
J01MA02,2010,27010
J01DD04,2010,18970
J01CR02,2011,39160
A07AA11,2011,32742
J01MA12,2011,30074
J01MA02,2011,28200
J01DD04,2011,20174
J01CR02,2012,42031
A07AA11,2012,36193
J01MA12,2012,32204
J01MA02,2012,28103
J01DD04,2012,19722
J01CR02,2013,48352
A07AA11,2013,39102
J01MA12,2013,33527
J01MA02,2013,30060
J01DD04,2013,21192
J01CR02,2014,51611
A07AA11,2014,41934
J01MA12,2014,33198
J01MA02,2014,32366
J01DD04,2014,22656
J01CR02,2015,51861
A07AA11,2015,43517
J01MA12,2015,33380
J01MA02,2015,32802
J01DD04,2015,24744
J01CR02,2016,53432
A07AA11,2016,43917
J01MA02,2016,32340
J01MA12,2016,32124
J01DD04,2016,25093
J01CR02,2017,54293
A07AA11,2017,44028
J01MA02,2017,32492
J01MA12,2017,30034
J01DD04,2017,23090
J01CR02,2018,35818
A07AA11,2018,29608
J01MA02,2018,20643
J01MA12,2018,20108
J01DD04,2018,15636
