co_codifa,mese,count
025300029,2008-01-01,2218
026089019,2008-01-01,1804
026664021,2008-01-01,1293
025202058,2008-01-01,1230
033940038,2008-01-01,1225
025300029,2008-02-01,1927
026089019,2008-02-01,1621
033940038,2008-02-01,1158
026664021,2008-02-01,1076
025202058,2008-02-01,1060
025300029,2008-03-01,1906
026089019,2008-03-01,1487
026664021,2008-03-01,1074
033940038,2008-03-01,1048
025680024,2008-03-01,967
025300029,2008-04-01,2075
026089019,2008-04-01,1518
026664021,2008-04-01,1120
025680024,2008-04-01,1054
033940038,2008-04-01,1040
025300029,2008-05-01,2062
026089019,2008-05-01,1401
025680024,2008-05-01,1094
026664021,2008-05-01,1002
033940038,2008-05-01,953
025300029,2008-06-01,2124
026089019,2008-06-01,1327
025680024,2008-06-01,1051
026664021,2008-06-01,957
033940038,2008-06-01,895
025300029,2008-07-01,2419
026089019,2008-07-01,1397
025680024,2008-07-01,1250
026664021,2008-07-01,1106
033940038,2008-07-01,897
025300029,2008-08-01,1600
026089019,2008-08-01,1036
025680024,2008-08-01,884
026664021,2008-08-01,813
033940038,2008-08-01,594
025300029,2008-09-01,2258
026089019,2008-09-01,1563
026664021,2008-09-01,1171
025680024,2008-09-01,1119
033940038,2008-09-01,975
025300029,2008-10-01,2147
026089019,2008-10-01,1864
026664021,2008-10-01,1242
033940038,2008-10-01,1228
023097102,2008-10-01,1122
025300029,2008-11-01,1775
026089019,2008-11-01,1423
033940038,2008-11-01,1023
026664021,2008-11-01,1000
025680024,2008-11-01,997
025300029,2008-12-01,2060
026089019,2008-12-01,1607
026664021,2008-12-01,1143
033940038,2008-12-01,1086
025680024,2008-12-01,1065
025300029,2009-01-01,2202
026089019,2009-01-01,1881
033940038,2009-01-01,1251
026664021,2009-01-01,1227
025680024,2009-01-01,1145
025300029,2009-02-01,1893
026089019,2009-02-01,1562
033940038,2009-02-01,1106
026664021,2009-02-01,1054
025680024,2009-02-01,965
025300029,2009-03-01,2242
026089019,2009-03-01,1774
026664021,2009-03-01,1291
033940038,2009-03-01,1239
025680024,2009-03-01,1098
025300029,2009-04-01,2187
026089019,2009-04-01,1572
026664021,2009-04-01,1262
033940038,2009-04-01,1083
025680024,2009-04-01,980
025300029,2009-05-01,2140
026089019,2009-05-01,1548
026664021,2009-05-01,1140
033940038,2009-05-01,1033
025680024,2009-05-01,1031
025300029,2009-06-01,2338
026089019,2009-06-01,1495
025680024,2009-06-01,1223
026664021,2009-06-01,1209
033940038,2009-06-01,992
025300029,2009-07-01,2596
026089019,2009-07-01,1588
025680024,2009-07-01,1400
026664021,2009-07-01,1146
033940038,2009-07-01,960
025300029,2009-08-01,1793
026089019,2009-08-01,1020
025680024,2009-08-01,934
026664021,2009-08-01,879
033940038,2009-08-01,631
025300029,2009-09-01,2370
026089019,2009-09-01,1632
025680024,2009-09-01,1257
026664021,2009-09-01,1214
033940038,2009-09-01,1077
025300029,2009-10-01,2198
026089019,2009-10-01,1786
026664021,2009-10-01,1350
025680024,2009-10-01,1243
033940038,2009-10-01,1237
025300029,2009-11-01,2009
026089019,2009-11-01,1694
033940038,2009-11-01,1388
026664021,2009-11-01,1266
025680024,2009-11-01,1120
025300029,2009-12-01,2219
026089019,2009-12-01,1333
026664021,2009-12-01,1166
033940038,2009-12-01,1123
025680024,2009-12-01,1033
025300029,2010-01-01,2398
026089019,2010-01-01,1446
026664021,2010-01-01,1263
033940038,2010-01-01,1154
025680024,2010-01-01,1010
025300029,2010-02-01,2174
026089019,2010-02-01,1323
033940038,2010-02-01,1210
026664021,2010-02-01,1095
025680024,2010-02-01,932
025300029,2010-03-01,2621
026089019,2010-03-01,1684
033940038,2010-03-01,1552
026664021,2010-03-01,1429
025202058,2010-03-01,1160
025300029,2010-04-01,2410
026089019,2010-04-01,1464
033940038,2010-04-01,1250
026664021,2010-04-01,1205
025202058,2010-04-01,995
025300029,2010-05-01,2292
026089019,2010-05-01,1407
026664021,2010-05-01,1269
033940038,2010-05-01,1269
025680024,2010-05-01,960
025202058,2010-05-01,872
025300029,2010-06-01,2525
026089019,2010-06-01,1358
026664021,2010-06-01,1347
033940038,2010-06-01,1113
025680024,2010-06-01,997
025300029,2010-07-01,2732
026089019,2010-07-01,1344
026664021,2010-07-01,1267
025680024,2010-07-01,1168
033940038,2010-07-01,1084
025300029,2010-08-01,2389
026089019,2010-08-01,1188
026664021,2010-08-01,1094
025680024,2010-08-01,1039
033940038,2010-08-01,868
025300029,2010-09-01,1792
026089019,2010-09-01,1068
026664021,2010-09-01,967
033940038,2010-09-01,892
025680024,2010-09-01,759
025300029,2010-10-01,2175
026664021,2010-10-01,1386
026089019,2010-10-01,1375
033940038,2010-10-01,1317
025202058,2010-10-01,984
025300029,2010-11-01,2203
026089019,2010-11-01,1338
026664021,2010-11-01,1284
033940038,2010-11-01,1196
025680024,2010-11-01,939
025300029,2010-12-01,1999
026089019,2010-12-01,1448
033940038,2010-12-01,1281
026664021,2010-12-01,1186
025680024,2010-12-01,902
025300029,2011-01-01,2119
026089019,2011-01-01,1646
033940038,2011-01-01,1397
026664021,2011-01-01,1370
025202058,2011-01-01,1206
025300029,2011-02-01,1967
026089019,2011-02-01,1539
033940038,2011-02-01,1355
026664021,2011-02-01,1276
025202058,2011-02-01,1017
025300029,2011-03-01,2334
026089019,2011-03-01,1581
033940038,2011-03-01,1483
026664021,2011-03-01,1392
025680024,2011-03-01,1018
025300029,2011-04-01,1991
026089019,2011-04-01,1380
033940038,2011-04-01,1270
026664021,2011-04-01,1221
025202058,2011-04-01,901
025300029,2011-05-01,2313
026089019,2011-05-01,1546
033940038,2011-05-01,1444
026664021,2011-05-01,1333
025680024,2011-05-01,928
025300029,2011-06-01,2276
026089019,2011-06-01,1306
026664021,2011-06-01,1217
033940038,2011-06-01,1125
025680024,2011-06-01,945
025300029,2011-07-01,2322
026089019,2011-07-01,1335
026664021,2011-07-01,1241
033940038,2011-07-01,1085
025680024,2011-07-01,1027
025300029,2011-08-01,1852
