co_codifa,mese,count
026089019,2008-01-01,1193
023097102,2008-01-01,642
026089108,2008-01-01,437
026664021,2008-01-01,340
027860042,2008-01-01,332
026089019,2008-02-01,861
023097102,2008-02-01,509
026089108,2008-02-01,356
027860042,2008-02-01,298
023086150,2008-02-01,226
026089019,2008-03-01,776
023097102,2008-03-01,433
026089108,2008-03-01,303
027860042,2008-03-01,232
023086150,2008-03-01,164
026089019,2008-04-01,750
023097102,2008-04-01,371
026089108,2008-04-01,271
027860042,2008-04-01,238
023086150,2008-04-01,176
026089019,2008-05-01,662
023097102,2008-05-01,313
027860042,2008-05-01,245
026089108,2008-05-01,242
025680024,2008-05-01,165
026089019,2008-06-01,603
023097102,2008-06-01,280
026089108,2008-06-01,197
027860042,2008-06-01,179
025680024,2008-06-01,157
026089019,2008-07-01,706
023097102,2008-07-01,318
026089108,2008-07-01,262
027860042,2008-07-01,235
025680024,2008-07-01,215
026089019,2008-08-01,530
023097102,2008-08-01,239
026089108,2008-08-01,180
027860042,2008-08-01,139
025680024,2008-08-01,132
026089019,2008-09-01,928
023097102,2008-09-01,437
026089108,2008-09-01,296
027860042,2008-09-01,269
023086150,2008-09-01,204
026089019,2008-10-01,962
023097102,2008-10-01,509
026089108,2008-10-01,344
027860042,2008-10-01,304
025680024,2008-10-01,208
026089019,2008-11-01,738
023097102,2008-11-01,381
026089108,2008-11-01,249
027860042,2008-11-01,228
025680024,2008-11-01,159
026089019,2008-12-01,771
023097102,2008-12-01,380
026089108,2008-12-01,280
027860042,2008-12-01,247
023086150,2008-12-01,181
026089019,2009-01-01,909
023097102,2009-01-01,460
026089108,2009-01-01,335
027860042,2009-01-01,267
023086150,2009-01-01,183
026089019,2009-02-01,877
023097102,2009-02-01,443
026089108,2009-02-01,314
027860042,2009-02-01,266
023086150,2009-02-01,190
026089019,2009-03-01,953
023097102,2009-03-01,467
026089108,2009-03-01,335
027860042,2009-03-01,282
023086150,2009-03-01,184
026089019,2009-04-01,838
023097102,2009-04-01,383
026089108,2009-04-01,329
027860042,2009-04-01,263
025680024,2009-04-01,165
026089019,2009-05-01,743
023097102,2009-05-01,339
026089108,2009-05-01,263
027860042,2009-05-01,251
025680024,2009-05-01,174
026089019,2009-06-01,635
023097102,2009-06-01,281
026089108,2009-06-01,220
025680024,2009-06-01,211
027860042,2009-06-01,209
026089019,2009-07-01,816
023097102,2009-07-01,302
026089108,2009-07-01,275
027860042,2009-07-01,253
025680024,2009-07-01,237
026089019,2009-08-01,596
025680024,2009-08-01,189
026089108,2009-08-01,179
023097102,2009-08-01,173
027860042,2009-08-01,169
026089019,2009-09-01,895
023097102,2009-09-01,397
026089108,2009-09-01,311
027860042,2009-09-01,269
025680024,2009-09-01,217
026089019,2009-10-01,1153
023097102,2009-10-01,495
026089108,2009-10-01,436
027860042,2009-10-01,381
023086150,2009-10-01,216
026089019,2009-11-01,1136
023097102,2009-11-01,459
026089108,2009-11-01,368
027860042,2009-11-01,332
023086150,2009-11-01,205
026089019,2009-12-01,620
023097102,2009-12-01,273
027860042,2009-12-01,271
026089108,2009-12-01,198
025680024,2009-12-01,141
026089019,2010-01-01,699
023097102,2010-01-01,299
027860042,2010-01-01,236
026089108,2010-01-01,193
025300029,2010-01-01,190
026089019,2010-02-01,671
023097102,2010-02-01,265
027860042,2010-02-01,250
026089108,2010-02-01,230
025680024,2010-02-01,163
026089019,2010-03-01,736
023097102,2010-03-01,338
027860042,2010-03-01,283
026089108,2010-03-01,237
025680024,2010-03-01,182
026089019,2010-04-01,648
027860042,2010-04-01,302
023097102,2010-04-01,280
026089108,2010-04-01,230
025680024,2010-04-01,144
026089019,2010-05-01,667
023097102,2010-05-01,303
027860042,2010-05-01,259
026089108,2010-05-01,225
025680024,2010-05-01,167
026089019,2010-06-01,548
027860042,2010-06-01,240
023097102,2010-06-01,231
026089108,2010-06-01,208
025680024,2010-06-01,137
026089019,2010-07-01,617
027860042,2010-07-01,270
023097102,2010-07-01,227
025680024,2010-07-01,200
026089108,2010-07-01,161
026089019,2010-08-01,619
023097102,2010-08-01,271
026089108,2010-08-01,223
027860042,2010-08-01,201
025680024,2010-08-01,176
026089019,2010-09-01,480
023097102,2010-09-01,234
027860042,2010-09-01,212
026089108,2010-09-01,157
023086150,2010-09-01,100
026089019,2010-10-01,533
023097102,2010-10-01,242
027860042,2010-10-01,236
026089108,2010-10-01,199
025680024,2010-10-01,139
026089019,2010-11-01,576
023097102,2010-11-01,235
027860042,2010-11-01,221
026089108,2010-11-01,164
025680024,2010-11-01,155
026089019,2010-12-01,572
027860042,2010-12-01,240
023097102,2010-12-01,232
026089108,2010-12-01,177
027134030,2010-12-01,110
026089019,2011-01-01,837
023097102,2011-01-01,287
027860042,2011-01-01,281
026089108,2011-01-01,240
023086150,2011-01-01,140
026089019,2011-02-01,692
023097102,2011-02-01,288
027860042,2011-02-01,273
026089108,2011-02-01,231
023086150,2011-02-01,128
026089019,2011-03-01,671
027860042,2011-03-01,287
023097102,2011-03-01,241
026089108,2011-03-01,203
027134030,2011-03-01,133
026089019,2011-04-01,539
027860042,2011-04-01,236
023097102,2011-04-01,201
026089108,2011-04-01,165
027134030,2011-04-01,121
026089019,2011-05-01,591
023097102,2011-05-01,226
027860042,2011-05-01,215
026089108,2011-05-01,175
025680024,2011-05-01,140
026089019,2011-06-01,490
027860042,2011-06-01,172
023097102,2011-06-01,162
026089108,2011-06-01,150
025680024,2011-06-01,134
026089019,2011-07-01,500
027860042,2011-07-01,204
025300029,2011-07-01,151
025680024,2011-07-01,149
026089108,2011-07-01,142
026089019,2011-08-01,422
027860042,2011-08-01,177
023097102,2011-08-01,152
025680024,2011-08-01,140
026089108,2011-08-01,127
026089019,2011-09-01,628
027860042,2011-09-01,239
023097102,2011-09-01,213
026089108,2011-09-01,160
025680024,2011-09-01,142
026089019,2011-10-01,637
027860042,2011-10-01,271
023097102,2011-10-01,232
026089108,2011-10-01,191
025680024,2011-10-01,130
026089019,2011-11-01,584
027860042,2011-11-01,289
023097102,2011-11-01,216
026089108,2011-11-01,178
025680024,2011-11-01,155
026089019,2011-12-01,580
027860042,2011-12-01,230
023097102,2011-12-01,210
026089108,2011-12-01,180
026664021,2011-12-01,110
026089019,2012-01-01,753
027860042,2012-01-01,297
023097102,2012-01-01,242
026089108,2012-01-01,221
025680024,2012-01-01,139
026089019,2012-02-01,673
027860042,2012-02-01,246
023097102,2012-02-01,207
026089108,2012-02-01,195
027134030,2012-02-01,119
026089019,2012-03-01,615
027860042,2012-03-01,218
023097102,2012-03-01,192
026089108,2012-03-01,187
025680024,2012-03-01,141
026089019,2012-04-01,530
027860042,2012-04-01,182
023097102,2012-04-01,170
026089108,2012-04-01,138
025680024,2012-04-01,113
026089019,2012-05-01,591
027860042,2012-05-01,269
023097102,2012-05-01,179
026089108,2012-05-01,165
026664021,2012-05-01,136
026089019,2012-06-01,443
027860042,2012-06-01,187
023097102,2012-06-01,135
026089108,2012-06-01,135
025680024,2012-06-01,129
026664021,2012-06-01,111
026089019,2012-07-01,630
027860042,2012-07-01,206
026089108,2012-07-01,168
025680024,2012-07-01,167
025300029,2012-07-01,153
026089019,2012-08-01,498
027860042,2012-08-01,172
026089108,2012-08-01,128
025680024,2012-08-01,124
025300029,2012-08-01,115
026089019,2012-09-01,651
027860042,2012-09-01,246
023097102,2012-09-01,181
026089108,2012-09-01,180
025680024,2012-09-01,118
026089019,2012-10-01,743
027860042,2012-10-01,274
023097102,2012-10-01,199
026664021,2012-10-01,155
026089108,2012-10-01,151
026089019,2012-11-01,666
027860042,2012-11-01,225
023097102,2012-11-01,190
026089108,2012-11-01,163
025680024,2012-11-01,142
026089019,2012-12-01,594
027860042,2012-12-01,211
026089108,2012-12-01,166
023097102,2012-12-01,150
026664021,2012-12-01,100
026089019,2013-01-01,900
027860042,2013-01-01,354
023097102,2013-01-01,251
026089108,2013-01-01,199
027134030,2013-01-01,156
026089019,2013-02-01,772
027860042,2013-02-01,246
026089108,2013-02-01,242
023097102,2013-02-01,208
025680024,2013-02-01,133
026089019,2013-03-01,724
027860042,2013-03-01,273
026089108,2013-03-01,179
023097102,2013-03-01,172
025680024,2013-03-01,138
026089019,2013-04-01,590
027860042,2013-04-01,249
026089108,2013-04-01,177
023097102,2013-04-01,155
025680024,2013-04-01,146
026089019,2013-05-01,648
027860042,2013-05-01,251
026664021,2013-05-01,173
023097102,2013-05-01,162
026089108,2013-05-01,162
025680024,2013-05-01,139
026089019,2013-06-01,564
027860042,2013-06-01,220
026089108,2013-06-01,151
023097102,2013-06-01,129
025680024,2013-06-01,122
026089019,2013-07-01,600
027860042,2013-07-01,225
026089108,2013-07-01,161
025300029,2013-07-01,147
025680024,2013-07-01,147
023097102,2013-07-01,143
026089019,2013-08-01,466
027860042,2013-08-01,157
025300029,2013-08-01,133
026089108,2013-08-01,126
025680024,2013-08-01,110
026089019,2013-09-01,685
027860042,2013-09-01,248
026089108,2013-09-01,170
023097102,2013-09-01,161
025680024,2013-09-01,141
026089019,2013-10-01,773
027860042,2013-10-01,285
026089108,2013-10-01,190
023097102,2013-10-01,189
026141147,2013-10-01,140
026089019,2013-11-01,603
027860042,2013-11-01,244
026089108,2013-11-01,172
025680024,2013-11-01,151
023097102,2013-11-01,119
026089019,2013-12-01,730
027860042,2013-12-01,265
023097102,2013-12-01,206
026089108,2013-12-01,194
026141147,2013-12-01,148
026089019,2014-01-01,872
027860042,2014-01-01,336
