co_codifa,anno,count
026089019,2008,9480
023097102,2008,4812
026089108,2008,3417
027860042,2008,2946
023086150,2008,2112
026089019,2009,10171
023097102,2009,4472
026089108,2009,3563
027860042,2009,3213
025680024,2009,2192
026089019,2010,7366
023097102,2010,3157
027860042,2010,2950
026089108,2010,2404
025680024,2010,1829
026089019,2011,7171
027860042,2011,2874
023097102,2011,2568
026089108,2011,2142
025680024,2011,1580
026089019,2012,7387
027860042,2012,2733
023097102,2012,2084
026089108,2012,1997
025680024,2012,1523
026089019,2013,8055
027860042,2013,3017
026089108,2013,2123
023097102,2013,1995
025680024,2013,1604
026089019,2014,8282
027860042,2014,3151
026089108,2014,2366
023097102,2014,1799
026141147,2014,1602
026089019,2015,7705
027860042,2015,2724
026089108,2015,2136
025300029,2015,1722
023097102,2015,1625
026089019,2016,7571
027860042,2016,2943
026089108,2016,2078
023097102,2016,1540
025680024,2016,1471
026089019,2017,7382
027860042,2017,2800
026089108,2017,1915
026664021,2017,1471
025300029,2017,1410
026089019,2018,4841
027860042,2018,1877
026089108,2018,1235
025680024,2018,958
026664021,2018,902
