co_atc,mese,count
J01CR02,2008-01-01,2345
J01CA04,2008-01-01,1198
J01FA09,2008-01-01,740
J01FA10,2008-01-01,579
J01MA02,2008-01-01,500
J01CR02,2008-02-01,1742
J01CA04,2008-02-01,931
J01FA09,2008-02-01,684
J01FA10,2008-02-01,506
J01DD08,2008-02-01,370
J01CR02,2008-03-01,1519
J01CA04,2008-03-01,780
J01FA09,2008-03-01,632
J01FA10,2008-03-01,428
J01DD08,2008-03-01,298
J01CR02,2008-04-01,1433
J01CA04,2008-04-01,693
J01FA09,2008-04-01,565
J01FA10,2008-04-01,417
J01DD08,2008-04-01,288
J01CR02,2008-05-01,1230
J01CA04,2008-05-01,592
J01FA09,2008-05-01,520
J01FA10,2008-05-01,409
J01DD08,2008-05-01,220
J01CR02,2008-06-01,1082
J01CA04,2008-06-01,482
J01FA09,2008-06-01,417
J01FA10,2008-06-01,314
J01DD08,2008-06-01,173
J01CR02,2008-07-01,1281
J01CA04,2008-07-01,595
J01FA09,2008-07-01,465
J01FA10,2008-07-01,360
J01DD08,2008-07-01,252
J01CR02,2008-08-01,938
J01CA04,2008-08-01,448
J01FA09,2008-08-01,370
J01FA10,2008-08-01,221
J01DD08,2008-08-01,174
J01CR02,2008-09-01,1670
J01CA04,2008-09-01,789
J01FA09,2008-09-01,617
J01FA10,2008-09-01,464
J01DD08,2008-09-01,300
J01CR02,2008-10-01,1824
J01CA04,2008-10-01,904
J01FA09,2008-10-01,674
J01FA10,2008-10-01,523
J01DD08,2008-10-01,375
J01CR02,2008-11-01,1390
J01CA04,2008-11-01,666
J01FA09,2008-11-01,494
J01FA10,2008-11-01,385
J01DD08,2008-11-01,274
J01CR02,2008-12-01,1525
J01CA04,2008-12-01,746
J01FA09,2008-12-01,532
J01FA10,2008-12-01,444
J01DD08,2008-12-01,305
J01CR02,2009-01-01,1812
J01CA04,2009-01-01,825
J01FA09,2009-01-01,668
J01FA10,2009-01-01,440
J01DD08,2009-01-01,332
J01CR02,2009-02-01,1749
J01CA04,2009-02-01,795
J01FA09,2009-02-01,595
J01FA10,2009-02-01,451
J01DD08,2009-02-01,367
J01CR02,2009-03-01,1910
J01CA04,2009-03-01,871
J01FA09,2009-03-01,707
J01FA10,2009-03-01,506
J01DD08,2009-03-01,437
J01CR02,2009-04-01,1726
J01CA04,2009-04-01,713
J01FA09,2009-04-01,598
J01FA10,2009-04-01,464
J01DD08,2009-04-01,333
J01CR02,2009-05-01,1451
J01CA04,2009-05-01,626
J01FA09,2009-05-01,507
J01FA10,2009-05-01,450
J01DD08,2009-05-01,295
J01CR02,2009-06-01,1259
J01CA04,2009-06-01,499
J01FA09,2009-06-01,449
J01FA10,2009-06-01,341
J01DD08,2009-06-01,272
J01CR02,2009-07-01,1502
J01CA04,2009-07-01,547
J01FA09,2009-07-01,492
J01FA10,2009-07-01,409
J01DD08,2009-07-01,263
J01CR02,2009-08-01,1134
J01FA09,2009-08-01,414
J01CA04,2009-08-01,335
J01FA10,2009-08-01,266
J01DD08,2009-08-01,207
J01CR02,2009-09-01,1770
J01CA04,2009-09-01,709
J01FA09,2009-09-01,611
J01FA10,2009-09-01,486
J01DD08,2009-09-01,361
J01CR02,2009-10-01,2516
J01FA09,2009-10-01,1016
J01CA04,2009-10-01,961
J01FA10,2009-10-01,719
J01DD08,2009-10-01,579
J01CR02,2009-11-01,2354
J01FA09,2009-11-01,1095
J01CA04,2009-11-01,876
J01FA10,2009-11-01,662
J01DD08,2009-11-01,568
J01CR02,2009-12-01,1422
J01FA09,2009-12-01,572
J01CA04,2009-12-01,526
J01FA10,2009-12-01,465
J01DD08,2009-12-01,328
J01CR02,2010-01-01,1495
J01CA04,2010-01-01,542
J01FA09,2010-01-01,523
J01FA10,2010-01-01,437
J01DD08,2010-01-01,327
J01CR02,2010-02-01,1588
J01FA09,2010-02-01,587
J01CA04,2010-02-01,563
J01FA10,2010-02-01,461
J01DD08,2010-02-01,349
J01CR02,2010-03-01,1792
J01FA09,2010-03-01,734
J01CA04,2010-03-01,696
J01FA10,2010-03-01,576
J01DD08,2010-03-01,454
J01CR02,2010-04-01,1579
J01FA09,2010-04-01,576
J01CA04,2010-04-01,559
J01FA10,2010-04-01,546
J01DD08,2010-04-01,406
J01CR02,2010-05-01,1559
J01CA04,2010-05-01,573
J01FA09,2010-05-01,504
J01FA10,2010-05-01,501
J01DD08,2010-05-01,328
J01CR02,2010-06-01,1298
J01FA09,2010-06-01,447
J01CA04,2010-06-01,438
J01FA10,2010-06-01,427
J01DD08,2010-06-01,256
J01CR02,2010-07-01,1354
J01FA09,2010-07-01,455
J01FA10,2010-07-01,440
J01CA04,2010-07-01,439
J01DD08,2010-07-01,281
