userid,pazienti,prescrizioni
7GTUSWM,1304,129543
"A=466T,",1475,129531
2NWHWKA,1593,129281
^FGZ]=0,1409,129146
HHTMU4W,1967,128128
FKQMQ1M,1310,127871
7PWW4E8,1726,127536
RK98UBC,1460,127312
AQKRRA2,1586,126608
YS7R4E8,1575,125904
6NS9SBC,1217,125759
N7KUVS8,1422,125739
^&&FDFU,1178,125110
AHPPY2J,1324,124837
ASRKXE8,1913,124188
DSJYR7B,1765,123960
P5XY5FM,1426,123328
Q45HYS8,1388,122769
SSPSW1M,1688,122579
QN79TBC,1238,122181
¶WX5PC4,1397,122157
GRKWVMV,2073,121786
CMUCRWM,1701,121751
A:4Y|N{,2735,121594
^UIQ1CL,1559,121546
A=3|?OR,1662,121273
DJ4WTGJ,2283,120924
^6T.E8T,1335,120688
"A=UO6,D",1054,120328
HPTKU7B,1718,120323
NMTJRFM,1137,120148
QJUKTHQ,1872,119816
ADQRPYM,2863,119611
SGQYWS8,1889,119250
YY68TJV,1534,119176
GKYMQE8,1117,118727
HMRC4VJ,1964,118249
WFQJQE8,1667,118067
^J}*?ID,1617,117930
PC6SUMV,1706,117512
D5RRUX6,2148,117017
ANEQVS8,1783,116954
A=<IM4^,1410,116913
JGPPU4W,1685,116790
JFWDTZR,1948,116200
WRSVDKA,1446,116026
XEWFUHQ,1802,115865
WX8FU2J,1309,115788
JKWP5MV,2071,115719
9YUPVGJ,1299,115568
BQRFQT9,2337,115356
GQEST3Q,1703,113729
3PPSUS8,1070,113243
^O8-36V,1731,112898
AS7UYRF,1028,112505
5KGTRGJ,1887,112494
¶NZZA#G,1378,111467
^QM>MQ9,1150,111309
QSTYY61,1511,110926
SN8GWQ5,1646,110872
¶2W(.@V,1069,110811
WSEUD5U,1559,110378
"^N,_7&3",1212,110265
Q8DWTYM,1831,110147
A=R8?ZE,2881,109662
ESF5W61,1672,109318
APFJRNA,1691,108982
7DJVS84,1258,108880
BNMNRUX,1537,108122
4GDQV4W,887,107488
HFHSST9,1798,107267
QYHJVX6,2659,106724
^60(;DP,1424,106634
RQWCDA2,1867,106546
A3PWRGJ,1576,106367
WDDWUFM,1171,106232
MRUYTA2,1804,105688
AQYTHDF,2554,105292
^].(F44,1332,105115
GE8JYDF,1204,105005
A=#HMU{,1306,104800
3QCDSVJ,1247,104580
¶BL2].F,1387,104162
RJXPRKA,1274,103945
^__TAKE,1501,103590
AQE4VA2,1669,103520
57RFVWM,1884,103151
^OV?©FV,1338,102915
Q8DPVNA,930,102850
¶(.&0)I,1336,102829
9TKPQRF,1516,102279
RPKFDQ5,1348,102203
RJW8U1M,1792,102187
A=P<T//,952,101960
A=M?D5F,1278,101714
A29SYYM,959,101696
AHJFU84,847,101691
9XXUYQ5,1792,101541
DSQKDQ5,817,101133
2JRQSX6,2145,100899
K84SWA2,2496,100786
¶L08S;Z,1357,100686
NKC7DQ5,2336,100051
*;;=:.S,934,99851
YJPSVT9,1197,99847
¶=ENPR3,982,99785
JT76W2J,1418,98873
A2HSV3Q,981,98458
¶6AMZM7,1346,98208
^^M?-E1,1409,98196
A=;P2AP,1290,97876
A=ZRVR_,1340,97824
BCNYWBC,1431,97530
RJJNV61,1627,97369
EP9HV7B,1140,96964
GNMR5E8,1886,96728
"A=}RO,2",1790,95945
RCY9WVJ,1803,95878
¶01V.9Z,1419,95602
A=)$[6J,1389,95479
KHT9UPC,1469,95439
^-]<0.N,1077,95408
PWWUDQ5,1751,95277
XHKCWC5,1781,95046
^G2U9-4,1116,94916
¶MZ#.?D,1512,94814
KKT4R9E,1676,94404
^+!MEV3,1376,94404
YWHE4MV,1337,94023
HCC5QP3,1732,93983
^F]*_<2,1347,93810
"A=^,-08",1287,93663
43HQQMV,1550,93430
JEJTQVJ,1322,93240
8DJV49E,1356,92894
ARRPXGJ,1848,92795
"A:E,KYO",1284,92020
BP7QT84,1573,91209
RNQY4VJ,1645,90772
8TY6YJV,1294,90555
QSPPURF,942,90196
^F0I;X4,1067,89859
KCQYSFM,1165,89494
Y8XHTC5,1697,89482
AB9P7BC,1984,89470
A=Q#I9C,793,89432
CMQQSC5,1407,89355
KECYRVJ,1506,89190
ASMRW61,884,88469
AFJ7SS8,1287,88350
XP7PQ1M,1849,87835
JSGGU1M,1289,87057
77G8S1M,1726,86916
RW7SU5U,1614,86718
NKMWRHQ,1826,86347
A=SKL{?,1574,85752
MJFQUBC,1446,85715
JN3KWGJ,1654,85609
¶A*4}RH,1326,85433
^I]<:;O,1212,85228
D5RE43Q,1417,85145
*/0?Y(T,810,84950
¶2B$[|8,1127,84822
¶0:4©VR,1349,84821
RRFHUDF,1310,84780
^¶O9)JQ,1844,84530
WQESQXE,2343,84336
5KCYYPC,1190,84300
DJWGQUX,1832,84263
A=¶E1F+,1361,84203
4SWCQX6,871,83732
^BHL>:L,455,83523
WMF7DC5,1807,83397
3SN6YBC,1606,83319
JYJUD4W,1402,82917
A=6+612,1654,82810
A:J<Y9R,1185,82253
QJEG4S8,1975,81893
^[&D6B2,740,81511
8F6NUQ5,1663,81342
^$:QG53,1434,80901
DBPYVC5,1635,80869
A=U&@Q8,1130,80659
A=P:@/.,1651,80298
*)BE+NA,1083,80177
AJJUSUX,1582,80157
KK5KQDF,1832,79999
ABNEWGJ,1415,79868
3JFUT7B,1689,79696
576RR4W,1707,79428
¶R[B=B4,1431,79423
A=>|-<=,1388,79218
ATPWWNA,1309,78686
KM9PRNA,1356,78509
7BTSUPC,956,78484
A=0V$&?,1192,78401
A:1>]#P,809,78099
M4KMYX6,1571,77438
HXYTQVJ,990,77007
AQK7QC5,1562,76483
YJWMRRF,1503,76137
RRSWUBC,1628,76107
A=2(H9E,1098,76082
YJQ7Y3Q,1156,75927
*+UM1HV,1123,75546
WQRHSPC,1755,75225
J78JQJV,1669,74721
"A¶,<[/.",1880,74537
*=>NA^0,1431,74384
X5R7WGJ,747,74207
QBXPQ7B,1652,73501
8JY4TBC,1562,72801
N7RHDBC,736,72685
A=¶Y<&D,965,72682
84YJS2J,1227,71763
A=.X^L7,1499,71740
R7QWDPC,1521,71556
5P6543Q,1649,71419
A:{}_2N,1761,71009
PPD4DT9,709,70876
YEKTDA2,1244,70409
CSKCURF,1117,70112
EBQW4BC,920,70070
*{1-8[C,579,68752
¶WD_0*7,364,68357
7PTPSVJ,1841,68351
"A=)),24",1145,67531
^C]$+?V,1005,67372
WSYYQGJ,805,66528
¶R}S|$R,1306,66447
¶>YM*M3,1157,66119
KS6WQT9,1527,66066
HG4TQ5U,1148,65472
R3XKD7B,2426,65353
"A=7?©J,",1248,64783
^VEG3DN,926,64716
AHWURDF,1425,64685
¶6X(_2M,1445,64445
2QRUQS8,1424,64304
A:33H7=,994,63497
R9YXVX6,1598,63412
A¶_8M4[,1155,63034
A=?D{1O,1007,62933
XQJNDC5,756,62527
7S6KQT9,748,62171
A:|8P_A,1282,62006
X53K4ZR,2076,61833
¶FQ3!<A,1037,61718
"*,7+!K8",1094,61320
A¶;PS*Z,1302,60789
ARCFVX6,1154,60722
Q4G6SPC,782,60017
A=+>N$9,1487,59902
67UUDS8,1467,59790
A:2^;}H,789,59575
A=NW#{X,778,59457
GWCCD5U,651,59299
A=©T1!+,1179,58274
A=+H.{|,596,58221
A:GX+)¶,1457,58152
A=:IQ@O,968,58125
XQPRU1M,1555,58097
A==6Z*Q,829,58004
¶P?(+QA,765,57742
KEMCVKA,873,57682
A:XY(=O,1112,57625
A=*GYG8,755,56720
^U¶#YHG,823,56574
A:[>{P6,919,56148
A:-(#N#,1162,56135
A=>P($K,727,56079
A2PST61,1561,55685
Q55EUPC,1157,55619
JGYFYE8,900,55423
WHFKWDF,1500,55210
A:31C/.,796,55073
YJ3RTT9,958,54928
67MHYS8,1394,54658
X446R5U,1500,54178
GB8FSWM,1257,53903
A¶=|)&¶,1526,53597
*$;A{VG,755,53421
"A=)5,F9",713,53075
RN5TVZR,1456,52697
A=>KL_@,799,51787
93QCTJV,1658,51386
NF4VVJV,1261,51320
CXTWYZR,1616,51204
9DPX4RF,836,50535
A2UVZYM,927,50443
GD8G4VJ,1210,50354
KWPVYA2,1447,50306
P8WR4C5,1429,50278
6QPYQA2,1686,49797
4EP9D4W,1342,49613
^3?-Q8F,703,49496
4MD9D2J,487,49309
A:31C]7,608,49281
A3HW761,1046,49227
^B©A<_Q,906,49204
AR4PTFM,1178,48813
A:X5VH:,1016,48746
A:@.|?W,1152,48379
¶)V4TG9,1257,48171
^Q#+JHL,477,48104
RJX4WZR,1224,48083
*#9!LNB,709,47952
A=R8[)O,958,47871
A.;T}+3,449,47612
3YUTY84,1065,47535
A:|WEVO,715,47491
XQNGSMV,806,47194
A¶;O-©{,310,46224
4WE9DGJ,1033,46199
KYYUWE8,1247,46077
A=EMX*8,620,45724
YWHMYVJ,1566,45722
PPWJDC5,1097,45697
Q3HPD1M,534,45173
^QT[|+O,1181,45170
XKYX45U,680,45150
¶TM756T,1282,44775
A.7G$NR,1028,44651
WXGKYWM,1036,44642
EKXNQDF,876,44369
A:6A)7.,1174,44363
A:1¶?/>,745,43312
A.I1Q5;,1489,42999
RDX9UT9,1808,42777
PF4TD2J,1512,42651
ESG8RE8,708,42153
A=O}3W{,564,41940
638RVE8,1169,41676
4PYUSC5,1300,41669
HB8GRS8,1385,41594
A:[¶V=N,706,41438
^©(#9EG,939,41391
AEGM69E,1380,40961
A:Z{<+?,1130,40924
BNWCUZR,1318,40633
^*?B<)S,993,40536
WYWFVBC,1308,40533
^*K(R|V,992,39990
R4MUWZR,1322,39988
A:&/BGH,987,39682
A:]78{>,858,39660
QNKMVGJ,604,39648
7RSRUBC,1075,39406
^+H¶R>E,898,39390
948S47B,1148,39295
A:}_O](,985,38444
A=1S)*G,689,37931
C9UDW7B,1261,37921
4GESU5U,1563,37920
9WKUYE8,1060,37647
AS5UR9E,964,37597
QGGQSBC,1319,37560
FS8Y4VJ,952,37269
A:O4?OP,308,37256
A:V[({#,769,37085
3RMFT7B,1110,36769
^MO@K.4,895,36560
^KA=9XE,1227,36493
A.1*E{N,303,36484
ARJEJ7B,1650,36270
RS7KY1M,1414,36133
^GM6WD2,429,36112
A.3C9@Z,984,35710
¶-Z9H0C,835,35656
A={|JV4,692,35268
WQDF44W,1526,35078
"A.7(,.W",877,34923
6W7Y4MV,1507,34587
NMK5WX6,615,34455
EHTHQWM,1320,34346
WFPDW5U,1171,34259
RXXNDJV,1575,34128
WPGXTWM,1820,34122
4DUUUQ5,935,34105
A.I1Q9#,1138,33333
ECQMUS8,1091,33231
¶B.G9UF,1328,33125
A.5DKH¶,1206,32897
K5N94S8,1169,32665
^!&¶[6P,757,32095
^@GR7{F,764,31821
AX6MUMV,907,31705
A.G{1-K,924,31453
QSTJSPC,602,30031
A=+4KQO,1543,29740
^$V?DO6,736,29666
WQPKTQ5,870,29139
¶9+U.Y9,586,28669
CQWXSKA,1372,28594
AETKFFM,612,28063
A:>O?(H,576,27867
^B;*0@E,263,27802
PECC4HQ,1096,27363
XY95SX6,1169,27168
RTSQQS8,1052,26748
^BWK{O5,942,26691
^}V#;}F,823,26363
JQ9RSRF,805,26091
9SPJVT9,385,25967
FCQURA2,1056,25956
JRNJQC5,942,25892
A=(X7+E,836,25811
¶4])G?H,685,25644
3XTXU7B,912,25490
WHPQWQ5,1053,25337
^!3;PK3,497,24989
A:}N_W5,423,24766
A:>9$H?,727,24636
PQTPTRF,889,24193
"A:D:,Q©",787,23992
¶B2X>&7,451,23489
¶IFI^MP,975,23075
GFXW49E,565,22823
A:|©J>©,762,22717
"^1:X,)1",1141,22577
A:F52-D,815,22374
A:Q¶O<I,525,22256
A:LKJMD,1307,22061
¶AL;{-L,739,21896
*!8[{90,916,21813
2EQQTGJ,833,21797
GJTSUGJ,505,21665
¶J|©1MM,678,21084
A=NL::<,991,20892
J4S9YBC,1088,20701
K8Q5RS8,906,20633
GPDT4BC,657,20411
XQWWU7B,901,20231
¶*4/>3I,450,19582
A=U|[XZ,783,19547
A:H95BI,884,19370
A.K[*DH,622,19036
A=+N9U¶,517,18755
¶G)3(GO,686,18486
XFEPU5U,890,17951
A:*MFDP,360,17944
"A.A^,2)",1100,17899
A:UZ-M7,872,17528
2K3WTS8,830,17428
¶=EE/]Z,745,16931
A.G-12X,610,16633
"A¶,<:LS",506,16512
A=E|3;@,544,16467
^FF*(63,581,16339
ADN581M,440,16276
A.A^.?.,1016,16130
A:OBQ=Z,604,16119
"A¶,^*BZ",649,16084
"A.A^,)6",1002,15880
*?F72GD,565,15752
A.3!©M#,413,15749
A.27FG©,537,15741
¶G-?GB3,701,15551
A=@L¶+$,345,15503
^<=T024,479,15255
7KFJT4W,924,15056
^|#<5}Z,649,15054
^ZZBG¶L,627,14974
A=N6:R$,594,14733
A.EI:#M,1013,14698
A.P3{WW,486,14540
A.4©|;P,569,14476
¶69=&¶U,373,14311
A¶©:PXK,724,13613
A¶;PS!A,680,13356
A¶_F98;,794,12962
A:3$/=1,921,12893
A¶.¶$*[,497,12746
SNDY4X6,642,12732
A:Q5Y|¶,588,12706
A.A^^[_,930,12666
"A:,9:T¶",535,12548
