userid,pazienti,prescrizioni
ARRPXGJ,1848,3138
KWPVYA2,1447,3135
A=YT)Q;,1301,3128
2NWHWKA,1593,3122
A:{}_2N,1761,3099
CMUCRWM,1701,3095
MQ7RSWM,1915,3094
^4:-E*6,1628,3090
A=¶E1F+,1361,3086
93QCTJV,1658,3025
JEJTQVJ,1322,3004
¶0:{1!3,1434,3003
3PPSUS8,1070,2978
NYGNWNA,2240,2955
^UIQ1CL,1559,2951
QSPPURF,942,2944
AJJUSUX,1582,2931
56YMDPC,1677,2930
WQRHSPC,1755,2929
^E{ABPP,1459,2927
¶6AMZM7,1346,2925
WSYYQGJ,805,2906
433CVNA,1864,2900
JJR74MV,1537,2898
MJSUYYM,1830,2881
9NGFSDF,1307,2877
"A=466T,",1475,2870
9YUPVGJ,1299,2865
A=SKL{?,1574,2837
SGQYWS8,1889,2831
XTSPU3Q,1551,2816
84YJS2J,1227,2814
2JRQSX6,2145,2799
^__TAKE,1501,2799
QJUKTHQ,1872,2789
57RFVWM,1884,2781
WDRG45U,1751,2742
8F6NUQ5,1663,2736
A=#HMU{,1306,2732
NPJTYPC,1636,2729
RJXPRKA,1274,2721
BCNYWBC,1431,2720
RJJNV61,1627,2700
AFGKDUX,1830,2699
¶(.&0)I,1336,2692
AHWURDF,1425,2691
DJWGQUX,1832,2685
A4FRW3Q,1784,2665
A=M?DGN,1360,2660
3PS641M,1210,2658
JN3KWGJ,1654,2657
A=0M:*T,1575,2657
P5XY5FM,1426,2655
M4KMYX6,1571,2650
NMTJRFM,1137,2646
A=;P2AP,1290,2645
9Y3U484,1244,2641
5P6543Q,1649,2633
2PQY41M,1604,2628
BJKPSWM,1308,2610
WRSYVFM,1867,2607
AX8KQGJ,1309,2599
DSJYR7B,1765,2597
¶WX5PC4,1397,2589
A=.X^L7,1499,2584
WSEUD5U,1559,2576
WDDWUFM,1171,2573
A:4Y|N{,2735,2566
STP6RZR,1542,2563
^+!MEV3,1376,2561
3JFUT7B,1689,2541
A=X}<.R,2627,2537
^O)-+|H,2074,2535
X53K4ZR,2076,2525
A=0;7©3,2918,2523
Q6XKQS8,1388,2521
A29SYYM,959,2520
9XXUYQ5,1792,2516
43HQQMV,1550,2487
NNPGQ3Q,1308,2477
AHPPY2J,1324,2470
^6T.E8T,1335,2467
AR9QPGJ,1514,2443
