userid,pazienti,prescrizioni
Q6XKQS8,1388,14667
N5XQRVJ,1602,14658
SGQYWS8,1889,14598
3QCDSVJ,1247,14528
DFGQ4KA,1470,14519
2NWHWKA,1593,14437
^4:-E*6,1628,14382
EP9HV7B,1140,14329
RMSGTGJ,1737,14256
J78JQJV,1669,14224
¶Z$7UOD,1543,14192
3JFUT7B,1689,14187
WQESQXE,2343,14126
FKQMQ1M,1310,14109
YY68TJV,1534,14048
KKPFSZR,1364,14045
2BEWYE8,1666,14044
KKT4R9E,1676,14021
RPKFDQ5,1348,14009
9YUPVGJ,1299,14008
RW7SU5U,1614,13867
*:+R4>S,1791,13780
93QCTJV,1658,13741
BQRFQT9,2337,13727
2PQY41M,1604,13666
9JJRDBC,1185,13665
NNPGQ3Q,1308,13662
SSPSW1M,1688,13645
A4FRW3Q,1784,13577
YS7R4E8,1575,13549
AX8KQGJ,1309,13477
34Y6DWM,1529,13432
AJGQJGJ,1482,13428
WSEUD5U,1559,13425
NPJTYPC,1636,13386
6NS9SBC,1217,13381
RK98UBC,1460,13270
7DJVS84,1258,13232
^<F(.:Z,1452,13206
9Y3U484,1244,13173
R3XKD7B,2426,13090
8JY4TBC,1562,13054
9NGFSDF,1307,13052
"A=466T,",1475,13045
AHPPY2J,1324,12998
PWWUDQ5,1751,12957
3PS641M,1210,12915
NMTJRFM,1137,12913
RNQY4VJ,1645,12781
ESF5W61,1672,12778
KYSMURF,1270,12765
RCY9WVJ,1803,12728
RQWCDA2,1867,12705
576RR4W,1707,12687
¶6AMZM7,1346,12624
77G8S1M,1726,12620
AB9P7BC,1984,12610
A=R8?ZE,2881,12600
¶0:{1!3,1434,12583
3PPSUS8,1070,12553
HCC5QP3,1732,12549
9NMJSMV,1578,12519
Q8DPVNA,930,12491
^UIQ1CL,1559,12468
^6T.E8T,1335,12432
QSTYY61,1511,12399
9TKPQRF,1516,12297
APFJRNA,1691,12291
SN8GWQ5,1646,12290
A=X}<.R,2627,12267
DMTFTZR,1181,12262
5P6543Q,1649,12156
"*,?61<E",1579,12123
GNMR5E8,1886,12093
A=0M:*T,1575,12029
GQEST3Q,1703,12022
AJJUSUX,1582,12008
GKYMQE8,1117,11990
ANEQVS8,1783,11873
A=M?DGN,1360,11820
MRUYTA2,1804,11791
43HQQMV,1550,11743
AQKRRA2,1586,11704
ACWYERF,1233,11702
^RL8&(4,1533,11680
A=<IM4^,1410,11654
9XXUYQ5,1792,11634
8F6NUQ5,1663,11606
JJR74MV,1537,11569
RJJNV61,1627,11531
"A=}RO,2",1790,11501
5KCYYPC,1190,11468
^$:QG53,1434,11466
ARJEJ7B,1650,11435
BP7QT84,1573,11372
WMF7DC5,1807,11340
QJEG4S8,1975,11338
M4KMYX6,1571,11304
^E{ABPP,1459,11300
N7KUVS8,1422,11276
4GDQV4W,887,11184
JT76W2J,1418,11155
^FGZ]=0,1409,11147
DSQKDQ5,817,11134
JN3KWGJ,1654,11101
AHWURDF,1425,11066
84YJS2J,1227,11044
RJXPRKA,1274,11009
X53K4ZR,2076,10956
YJPSVT9,1197,10943
8TY6YJV,1294,10865
¶WX5PC4,1397,10798
A2HSV3Q,981,10768
A3PWRGJ,1576,10760
YWHE4MV,1337,10685
A=>|-<=,1388,10569
KS6WQT9,1527,10564
WDDWUFM,1171,10560
KK5KQDF,1832,10522
BCNYWBC,1431,10450
7PTPSVJ,1841,10446
¶0:4©VR,1349,10445
JEJTQVJ,1322,10378
^J}*?ID,1617,10343
WFQJQE8,1667,10340
YJWMRRF,1503,10329
DBPYVC5,1635,10288
WX8FU2J,1309,10243
¶R}S|$R,1306,10208
A29SYYM,959,10199
KWPVYA2,1447,10193
A=0;7©3,2918,10140
¶L08S;Z,1357,10136
A=ZRVR_,1340,10126
A=6+612,1654,10116
^__TAKE,1501,10110
A=SKL{?,1574,10052
RDX9UT9,1808,10050
BJKPSWM,1308,10036
¶{*M=^0,2528,10006
A:4Y|N{,2735,9904
8DJV49E,1356,9901
^[&D6B2,740,9853
CXTWYZR,1616,9849
^O)-+|H,2074,9825
KECYRVJ,1506,9822
^¶O9)JQ,1844,9818
RRSWUBC,1628,9817
MJFQUBC,1446,9801
PPD4DT9,709,9785
A=#HMU{,1306,9760
RRFHUDF,1310,9731
QSPPURF,942,9721
AQK7QC5,1562,9678
A=;P2AP,1290,9671
A=)$[6J,1389,9581
KCQYSFM,1165,9574
^^M?-E1,1409,9570
AHJFU84,847,9558
ASMRW61,884,9492
X446R5U,1500,9443
A=¶E1F+,1361,9339
^&&FDFU,1178,9300
¶MZ#.?D,1512,9286
7BTSUPC,956,9219
AFJ7SS8,1287,9216
¶2W(.@V,1069,9207
XQPRU1M,1555,9205
3SN6YBC,1606,9139
D5RE43Q,1417,9125
A2PST61,1561,9057
QBXPQ7B,1652,9051
JSGGU1M,1289,9045
A¶=|)&¶,1526,8977
ATPWWNA,1309,8959
CMQQSC5,1407,8896
4SWCQX6,871,8849
¶01V.9Z,1419,8831
^OV?©FV,1338,8799
^B©A<_Q,906,8793
JYJUD4W,1402,8786
^E>;}J0,1016,8760
^PN**66,1417,8757
67UUDS8,1467,8741
^F]*_<2,1347,8727
KHT9UPC,1469,8676
P8WR4C5,1429,8662
A:|8P_A,1282,8660
^G2U9-4,1116,8657
A=3|?OR,1662,8641
AWKCNJV,1396,8625
^QM>MQ9,1150,8602
RN5TVZR,1456,8599
HXYTQVJ,990,8522
YJQ7Y3Q,1156,8473
A=.X^L7,1499,8433
A=M?D5F,1278,8430
R7QWDPC,1521,8403
KEMCVKA,873,8354
HG4TQ5U,1148,8329
EBQW4BC,920,8299
67MHYS8,1394,8293
A:{}_2N,1761,8284
KM9PRNA,1356,8218
3YUTY84,1065,8190
¶(.&0)I,1336,8174
^+!MEV3,1376,8157
ABNEWGJ,1415,8133
¶6X(_2M,1445,8132
A¶;PS*Z,1302,8022
^38BZLB,1168,8010
¶R[B=B4,1431,8009
KYYUWE8,1247,8001
^60(;DP,1424,7924
"A=^,-08",1287,7921
YEKTDA2,1244,7911
^¶YZ©M9,1228,7857
WSYYQGJ,805,7846
*=>NA^0,1431,7783
A=P:@/.,1651,7704
7S6KQT9,748,7689
GB8FSWM,1257,7617
CSKCURF,1117,7610
A=N[¶@©,1188,7580
4EP9D4W,1342,7564
RS7KY1M,1414,7561
¶NZZA#G,1378,7517
¶2B$[|8,1127,7486
^].(F44,1332,7447
2QRUQS8,1424,7295
"*,7+!K8",1094,7208
6W7Y4MV,1507,7131
N7RHDBC,736,7121
6QPYQA2,1686,7058
YWHMYVJ,1566,7022
C9UDW7B,1261,6982
^F0I;X4,1067,6856
BNWCUZR,1318,6845
¶A*4}RH,1326,6820
GE8JYDF,1204,6788
A=©T1!+,1179,6755
"A¶,<[/.",1880,6676
4PYUSC5,1300,6662
¶YR5)-2,1048,6639
A:2^;}H,789,6632
WQDF44W,1526,6621
"A=UO6,D",1054,6556
ARCFVX6,1154,6547
RJX4WZR,1224,6540
YJ3RTT9,958,6532
XQJNDC5,756,6522
9WKUYE8,1060,6499
A:J<Y9R,1185,6495
WYWFVBC,1308,6494
"A:E,KYO",1284,6458
AR4PTFM,1178,6453
A:Z{<+?,1130,6430
AS5UR9E,964,6414
"A=7?©J,",1248,6404
A2UVZYM,927,6334
A3HW761,1046,6332
WPGXTWM,1820,6287
A=+>N$9,1487,6274
EKXNQDF,876,6259
ECQMUS8,1091,6247
NF4VVJV,1261,6245
^-]<0.N,1077,6166
GD8G4VJ,1210,6164
A=0V$&?,1192,6163
A:6A)7.,1174,6146
WHFKWDF,1500,6071
PF4TD2J,1512,6030
GWCCD5U,651,6029
HB8GRS8,1385,6021
JGYFYE8,900,6009
^I]<:;O,1212,6003
*{1-8[C,579,6001
RXXNDJV,1575,5999
¶=ENPR3,982,5995
A=?D{1O,1007,5966
4WE9DGJ,1033,5878
¶FQ3!<A,1037,5859
Q4G6SPC,782,5838
WXGKYWM,1036,5834
*+UM1HV,1123,5810
A=:IQ@O,968,5801
X5R7WGJ,747,5728
"A=)5,F9",713,5716
AEGM69E,1380,5704
XY95SX6,1169,5693
A=R8[)O,958,5684
A:33H7=,994,5674
638RVE8,1169,5664
A:XY(=O,1112,5563
CQWXSKA,1372,5532
A.;T}+3,449,5500
XKYX45U,680,5495
PPWJDC5,1097,5466
QGGQSBC,1319,5451
Q55EUPC,1157,5435
7RSRUBC,1075,5417
"A=)),24",1145,5413
A:31C/.,796,5399
R4MUWZR,1322,5346
¶B.G9UF,1328,5266
AX6MUMV,907,5258
A.7G$NR,1028,5247
A=U&@Q8,1130,5208
3RMFT7B,1110,5105
¶>YM*M3,1157,5093
4MD9D2J,487,5075
*$;A{VG,755,5047
K5N94S8,1169,5035
*;;=:.S,934,4930
^(?UHNH,853,4927
¶)V4TG9,1257,4926
EHTHQWM,1320,4908
948S47B,1148,4875
A=NW#{X,778,4845
JRNJQC5,942,4800
4GESU5U,1563,4759
A:1>]#P,809,4744
A:-(#N#,1162,4738
^QT[|+O,1181,4727
¶IFI^MP,975,4721
WFPDW5U,1171,4681
"^N,_7&3",1212,4656
XQNGSMV,806,4601
PQTPTRF,889,4585
^VEG3DN,926,4542
FS8Y4VJ,952,4527
A:@.|?W,1152,4518
^!3;PK3,497,4495
^C]$+?V,1005,4465
QNKMVGJ,604,4458
ESG8RE8,708,4420
^Q#+JHL,477,4394
A.I1Q5;,1489,4368
NMK5WX6,615,4233
4DUUUQ5,935,4222
A¶_8M4[,1155,4221
*#9!LNB,709,4161
A=P<T//,952,4144
^3?-Q8F,703,4119
AETKFFM,612,4107
3XTXU7B,912,4097
¶TM756T,1282,4085
"^1:X,)1",1141,4062
FCQURA2,1056,4034
A=¶Y<&D,965,4015
A=*GYG8,755,3987
A=>KL_@,799,3985
A:LKJMD,1307,3975
A.3C9@Z,984,3902
YYN8R61,693,3893
J4S9YBC,1088,3840
A:31C]7,608,3763
A=2(H9E,1098,3730
RTSQQS8,1052,3718
^+H¶R>E,898,3711
^*K(R|V,992,3710
GJTSUGJ,505,3709
A=U|[XZ,783,3703
A==6Z*Q,829,3669
^GM6WD2,429,3658
GFXW49E,565,3646
A:}_O](,985,3593
WQPKTQ5,870,3588
A:1¶?/>,745,3582
A:GX+)¶,1457,3579
PECC4HQ,1096,3556
A:X5VH:,1016,3523
*/0?Y(T,810,3513
XQWWU7B,901,3500
A:&/BGH,987,3393
A.I1Q9#,1138,3385
¶P?(+QA,765,3384
A.G{1-K,924,3369
^BWK{O5,942,3365
A:V[({#,769,3347
*)BE+NA,1083,3312
2EQQTGJ,833,3311
^©(#9EG,939,3302
A=Q#I9C,793,3287
QSTJSPC,602,3271
"A:D:,Q©",787,3268
WHPQWQ5,1053,3244
^U¶#YHG,823,3237
^MO@K.4,895,3231
^@GR7{F,764,3214
A:[¶V=N,706,3190
^*?B<)S,993,3164
^KA=9XE,1227,3107
A:[>{P6,919,3080
¶9+U.Y9,586,3075
A:]78{>,858,3001
"A.7(,.W",877,2993
JQ9RSRF,805,2888
K8Q5RS8,906,2876
A=EMX*8,620,2835
Q3HPD1M,534,2791
A:>9$H?,727,2786
A=(X7+E,836,2736
A.5DKH¶,1206,2732
A=1S)*G,689,2723
*!8[{90,916,2709
A.EI:#M,1013,2701
A:>O?(H,576,2675
2K3WTS8,830,2656
"A¶,^*BZ",649,2598
QMRDUE8,743,2595
¶-Z9H0C,835,2566
A=+4KQO,1543,2559
^}V#;}F,823,2513
9DPX4RF,836,2488
PWY4QC5,848,2476
¶AL;{-L,739,2471
A:UZ-M7,872,2470
A={|JV4,692,2442
A:H95BI,884,2411
A:|©J>©,762,2327
7KFJT4W,924,2302
¶4])G?H,685,2269
^$V?DO6,736,2255
A.G-12X,610,2236
A=>P($K,727,2175
GPDT4BC,657,2175
^!&¶[6P,757,2152
ADN581M,440,2143
A=O}3W{,564,2138
¶=EE/]Z,745,2135
A=+H.{|,596,2099
A:|WEVO,715,2073
A:F52-D,815,2072
A¶©:PXK,724,2062
A:}N_W5,423,2050
A.K[*DH,622,2047
^ZZBG¶L,627,2013
"A¶,L5+H",850,1975
R5X5SDF,594,1950
A=@L¶+$,345,1844
D5UWDE8,406,1838
A=NL::<,991,1800
¶G)3(GO,686,1793
¶B2X>&7,451,1768
^FF*(63,581,1766
A¶_F98;,794,1753
"^81,Z¶S",268,1751
SNDY4X6,642,1721
K9CSSGJ,612,1720
A.O7C3*,722,1693
9SPJVT9,385,1690
"A.A^,2)",1100,1676
¶J|©1MM,678,1674
A¶.¶$*[,497,1659
¶G-?GB3,701,1658
YWHRSUX,426,1629
A:*MFDP,360,1607
¶T3S}JT,498,1584
^@7]©D3,608,1580
A.3!©M#,413,1565
A=E|3;@,544,1552
A¶;PS!A,680,1548
A.4©|;P,569,1515
A.Y<8|[,678,1513
CPNWSFM,530,1506
"A.A^,)6",1002,1502
A¶_F9JQ,734,1494
XFEPU5U,890,1484
A.A^.?.,1016,1476
A.27FG©,537,1472
A.?#^Q@,657,1465
*?F72GD,565,1440
^|#<5}Z,649,1435
^BHL>:L,455,1418
A=DOT{:,758,1415
^@A}K/0,533,1407
¶CP:E0L,711,1406
"A:,9:T¶",535,1403
¶0QUQ#5,579,1398
"A¶,<:LS",506,1394
¶WD_0*7,364,1385
A:3$/=1,921,1361
A:Q5Y|¶,588,1342
A:OBQ=Z,604,1320
YKC8SX6,687,1319
A:¶7RK©,335,1310
¶9S<|ZI,574,1297
A:Q¶O<I,525,1292
A.A^^[_,930,1282
"A.A^,^)",869,1237
A=+N9U¶,517,1234
A:O4?OP,308,1231
A=N6:R$,594,1223
¶Q:;}MH,721,1195
A.P3{WW,486,1176
A.:(6/$,502,1170
A:}(>EC,300,1147
QKJYQ9E,429,1129
A.<M@9T,783,1118
*]./RG7,179,1075
A::?T$_,376,1042
^?FBI05,519,1029
A=*Z@;@,555,1027
A:H&6EP,504,1025
^<=T024,479,1017
A¶;O-©{,310,1008
^W=©95V,455,1006
NK854WM,652,1003
A.-2(Z},445,999
A.*MY&&,510,999
¶*4/>3I,450,968
RBJYW84,591,952
A.=6!(&,534,942
A¶#©Y}G,411,933
"A:_;8,>",363,926
^HNM>)S,506,919
A.YVZUV,371,913
¶¶/4.!1,336,876
A=U©[T@,574,855
^©OPKW4,417,854
A.A^^T{,681,851
¶69=&¶U,373,845
A=$$P(@,523,834
"A.A^,BD",634,825
^B;*0@E,263,821
A.1*E{N,303,812
A.9!}2<,423,805
A.=6![I,511,803
A:Z/UDW,380,749
"A¶,<^(0",355,747
A:2^;=/,454,740
¶R$C;C2,492,737
A:SG)&L,319,733
A.-PHS1,430,716
A:_;G0©,375,714
7YJKVS8,230,701
^.V{*?1,354,697
A.G0**?,391,695
A.&D-MS,398,693
Q5T9Q3Q,177,689
A¶_F9T{,410,683
