co_codifa,mese,count
023097102,2011-04-01,2120
026089019,2011-05-01,6114
025300029,2011-05-01,3864
033940038,2011-05-01,2784
026664021,2011-05-01,2775
025680024,2011-05-01,2322
026089019,2011-06-01,5314
025300029,2011-06-01,3847
026664021,2011-06-01,2525
025680024,2011-06-01,2264
033940038,2011-06-01,2222
026089019,2011-07-01,5225
025300029,2011-07-01,4126
026664021,2011-07-01,2653
025680024,2011-07-01,2573
033940038,2011-07-01,2072
026089019,2011-08-01,4240
025300029,2011-08-01,3179
026664021,2011-08-01,2081
025680024,2011-08-01,1979
033940038,2011-08-01,1512
026089019,2011-09-01,5667
025300029,2011-09-01,3734
026664021,2011-09-01,2765
025680024,2011-09-01,2409
033940038,2011-09-01,2250
026089019,2011-10-01,6402
025300029,2011-10-01,3309
026664021,2011-10-01,2725
033940038,2011-10-01,2571
023097102,2011-10-01,2391
026089019,2011-11-01,6549
025300029,2011-11-01,3485
026664021,2011-11-01,2910
033940038,2011-11-01,2715
023097102,2011-11-01,2427
026089019,2011-12-01,6238
025300029,2011-12-01,3387
026664021,2011-12-01,2630
033940038,2011-12-01,2595
023097102,2011-12-01,2202
026089019,2012-01-01,8003
025300029,2012-01-01,4021
033940038,2012-01-01,3078
026664021,2012-01-01,3031
023097102,2012-01-01,2691
026089019,2012-02-01,7100
025300029,2012-02-01,3214
033940038,2012-02-01,2819
026664021,2012-02-01,2683
025202058,2012-02-01,2391
026089019,2012-03-01,6754
025300029,2012-03-01,3822
033940038,2012-03-01,2751
026664021,2012-03-01,2688
025680024,2012-03-01,2115
026089019,2012-04-01,5750
025300029,2012-04-01,3389
026664021,2012-04-01,2390
033940038,2012-04-01,2362
025680024,2012-04-01,1842
026089019,2012-05-01,6670
025300029,2012-05-01,3980
026664021,2012-05-01,2914
033940038,2012-05-01,2428
025680024,2012-05-01,2222
026089019,2012-06-01,5500
025300029,2012-06-01,3770
026664021,2012-06-01,2418
033940038,2012-06-01,2147
025680024,2012-06-01,2126
026089019,2012-07-01,6012
025300029,2012-07-01,4756
026664021,2012-07-01,2788
025680024,2012-07-01,2595
033940038,2012-07-01,2060
026089019,2012-08-01,4429
025300029,2012-08-01,3927
026664021,2012-08-01,2022
025680024,2012-08-01,1874
033940038,2012-08-01,1426
026089019,2012-09-01,6404
025300029,2012-09-01,4574
026664021,2012-09-01,2593
025680024,2012-09-01,2193
033940038,2012-09-01,2178
026089019,2012-10-01,7375
025300029,2012-10-01,4670
026664021,2012-10-01,2959
033940038,2012-10-01,2824
025680024,2012-10-01,2412
026089019,2012-11-01,7336
025300029,2012-11-01,4253
026664021,2012-11-01,2913
033940038,2012-11-01,2786
025680024,2012-11-01,2269
026089019,2012-12-01,6805
025300029,2012-12-01,4005
033940038,2012-12-01,2526
