co_atc,mese,count
A07AA11,2013-07-01,6246
J01MA02,2013-07-01,5174
J01CR02,2013-08-01,9796
A07AA11,2013-08-01,4506
J01MA02,2013-08-01,3665
J01CR02,2013-09-01,14996
A07AA11,2013-09-01,5580
J01MA02,2013-09-01,5245
J01CR02,2013-10-01,16820
J01MA02,2013-10-01,5865
J01MA12,2013-10-01,5747
J01CR02,2013-11-01,14860
J01MA02,2013-11-01,5277
J01MA12,2013-11-01,4979
J01CR02,2013-12-01,16882
J01MA12,2013-12-01,5726
J01MA02,2013-12-01,5087
J01CR02,2014-01-01,21386
J01MA12,2014-01-01,7163
J01MA02,2014-01-01,6385
J01CR02,2014-02-01,17766
J01MA12,2014-02-01,6046
J01MA02,2014-02-01,5825
J01CR02,2014-03-01,18260
J01MA12,2014-03-01,6358
J01MA02,2014-03-01,5850
J01CR02,2014-04-01,15144
A07AA11,2014-04-01,5321
J01MA12,2014-04-01,5200
J01CR02,2014-05-01,15518
A07AA11,2014-05-01,6079
J01MA02,2014-05-01,5497
J01CR02,2014-06-01,13456
A07AA11,2014-06-01,5876
J01MA02,2014-06-01,5218
J01CR02,2014-07-01,14257
A07AA11,2014-07-01,6909
J01MA02,2014-07-01,5607
J01CR02,2014-08-01,10117
A07AA11,2014-08-01,4868
J01MA02,2014-08-01,3838
J01CR02,2014-09-01,15754
A07AA11,2014-09-01,6394
J01MA02,2014-09-01,5903
J01CR02,2014-10-01,17227
J01MA02,2014-10-01,6307
J01MA12,2014-10-01,5664
J01CR02,2014-11-01,15451
J01MA02,2014-11-01,5420
J01MA12,2014-11-01,5151
J01CR02,2014-12-01,16562
J01MA02,2014-12-01,5525
J01MA12,2014-12-01,5382
J01CR02,2015-01-01,22022
J01MA12,2015-01-01,7332
J01DD04,2015-01-01,7159
J01CR02,2015-02-01,18541
J01MA12,2015-02-01,6567
J01MA02,2015-02-01,5943
J01CR02,2015-03-01,18713
J01MA12,2015-03-01,6673
J01MA02,2015-03-01,6316
J01CR02,2015-04-01,14600
A07AA11,2015-04-01,5472
J01MA12,2015-04-01,5371
J01CR02,2015-05-01,13494
A07AA11,2015-05-01,6096
J01MA02,2015-05-01,5099
J01CR02,2015-06-01,13277
A07AA11,2015-06-01,6648
J01MA02,2015-06-01,5404
J01CR02,2015-07-01,13342
A07AA11,2015-07-01,7001
J01MA02,2015-07-01,5539
J01CR02,2015-08-01,9689
A07AA11,2015-08-01,5596
J01MA02,2015-08-01,4183
J01CR02,2015-09-01,14088
A07AA11,2015-09-01,6753
J01MA02,2015-09-01,5716
J01CR02,2015-10-01,15422
J01MA02,2015-10-01,5904
A07AA11,2015-10-01,5859
J01CR02,2015-11-01,15393
A07AA11,2015-11-01,5525
J01MA02,2015-11-01,5452
J01CR02,2015-12-01,15910
A07AA11,2015-12-01,5676
J01MA02,2015-12-01,5468
J01CR02,2016-01-01,17140
J01MA12,2016-01-01,5853
A07AA11,2016-01-01,5802
J01CR02,2016-02-01,17279
J01MA02,2016-02-01,5929
J01MA12,2016-02-01,5815
J01CR02,2016-03-01,18269
A07AA11,2016-03-01,6065
J01MA12,2016-03-01,5798
J01CR02,2016-04-01,14843
A07AA11,2016-04-01,5453
J01MA02,2016-04-01,5106
J01CR02,2016-05-01,15831
A07AA11,2016-05-01,6114
J01MA02,2016-05-01,5515
J01CR02,2016-06-01,13079
A07AA11,2016-06-01,6041
J01MA02,2016-06-01,4965
J01CR02,2016-07-01,12532
A07AA11,2016-07-01,6610
J01MA02,2016-07-01,4947
J01CR02,2016-08-01,11059
A07AA11,2016-08-01,5448
J01MA02,2016-08-01,4323
J01CR02,2016-09-01,14647
A07AA11,2016-09-01,6077
J01MA02,2016-09-01,5482
J01CR02,2016-10-01,15199
