userid,pazienti,prescrizioni
57RKY2J,1582,1524
RRFHUDF,1310,1515
2PQY41M,1604,1514
AR9QPGJ,1514,1512
ASMRW61,884,1510
JN3KWGJ,1654,1507
A:Z{<+?,1130,1506
ANEQVS8,1783,1502
^F0I;X4,1067,1502
QSTYY61,1511,1493
¶MZ#.?D,1512,1491
¶NZZA#G,1378,1489
AX8KQGJ,1309,1488
¶2W(.@V,1069,1485
^[&D6B2,740,1483
^QM>MQ9,1150,1477
HCC5QP3,1732,1469
Q8DPVNA,930,1463
AJJUSUX,1582,1460
433CVNA,1864,1452
HMRC4VJ,1964,1438
¶YR5)-2,1048,1434
2JRQSX6,2145,1419
7BTSUPC,956,1414
4GDQV4W,887,1414
ASRKXE8,1913,1410
KKPFSZR,1364,1407
A29SYYM,959,1403
"A¶,<[/.",1880,1399
"A=)5,F9",713,1387
"A:E,KYO",1284,1385
77G8S1M,1726,1370
CMQQSC5,1407,1361
¶L08S;Z,1357,1352
AWKCNJV,1396,1352
9Y3U484,1244,1351
AJGQJGJ,1482,1343
RJXPRKA,1274,1341
"A=UO6,D",1054,1338
QSPPURF,942,1338
A=<IM4^,1410,1337
9NGFSDF,1307,1335
N7KUVS8,1422,1314
^&&FDFU,1178,1307
6KDKT3Q,1823,1306
DQ8HQ4W,1543,1301
"A=7?©J,",1248,1295
RCY9WVJ,1803,1295
JJR74MV,1537,1294
JT76W2J,1418,1291
"A=^,-08",1287,1290
A:1>]#P,809,1288
KHT9UPC,1469,1275
A:|8P_A,1282,1271
BP7QT84,1573,1267
RRSWUBC,1628,1262
HDNYS4W,1853,1260
GD8G4VJ,1210,1259
SKJ8RX6,2307,1246
¶=ENPR3,982,1245
A3PWRGJ,1576,1242
EBQW4BC,920,1233
^^M?-E1,1409,1232
AYK7R84,2011,1228
HFHSST9,1798,1222
NW7XQC5,1793,1220
A=6+612,1654,1219
ADQRPYM,2863,1216
7PTPSVJ,1841,1215
A=P:@/.,1651,1215
43HQQMV,1550,1214
A¶!;</;,2704,1205
¶{*M=^0,2528,1204
GRKWVMV,2073,1195
9JJRDBC,1185,1190
ACWYERF,1233,1185
STP6RZR,1542,1184
7S6KQT9,748,1166
A¶;PS*Z,1302,1165
56YMDPC,1677,1161
¶0:4©VR,1349,1159
YWHMYVJ,1566,1153
5P6543Q,1649,1152
KECYRVJ,1506,1151
A=©T1!+,1179,1141
^38BZLB,1168,1140
¶2B$[|8,1127,1138
XEWFUHQ,1802,1133
RK98UBC,1460,1126
2BEWYE8,1666,1123
9PRPQT9,1655,1115
9NMJSMV,1578,1113
WPGXTWM,1820,1109
B98TUT9,1793,1097
KQ58RS8,1900,1089
X53K4ZR,2076,1088
^G2U9-4,1116,1083
4EP9D4W,1342,1081
R7QWDPC,1521,1081
AQYTHDF,2554,1073
^].(F44,1332,1069
5M49Q1M,1573,1066
QJEG4S8,1975,1060
N6SRUVJ,1676,1058
KK5KQDF,1832,1058
A4FRW3Q,1784,1054
A:@.|?W,1152,1054
A=R8[)O,958,1053
¶FQ3!<A,1037,1049
¶01V.9Z,1419,1028
A:2^;}H,789,1020
C49URQ5,1876,1019
¶A*4}RH,1326,1013
A=N[¶@©,1188,1012
A:33H7=,994,1011
QBXPQ7B,1652,1010
JSGGU1M,1289,997
^I]<:;O,1212,997
ABNEWGJ,1415,996
^>¶GA+9,1590,994
A=?D{1O,1007,993
*{1-8[C,579,992
¶R[B=B4,1431,990
34Y6DWM,1529,982
2PEUYPC,2274,978
A:-(#N#,1162,973
A=U&@Q8,1130,971
RNQY4VJ,1645,966
67UUDS8,1467,966
^-]<0.N,1077,964
^F]*_<2,1347,961
WX8FU2J,1309,955
JYJUD4W,1402,953
RQWCDA2,1867,948
DYQWRQ5,1710,947
CMUCRWM,1701,946
MJFQUBC,1446,939
MPRCUDF,1307,937
*#9!LNB,709,936
AFJ7SS8,1287,935
6QPYQA2,1686,934
CSKCURF,1117,933
*=>NA^0,1431,931
AP7TN61,1811,922
R9YXVX6,1598,919
YS7R4E8,1575,917
NKC7DQ5,2336,910
GJQWQ61,1951,897
^$:QG53,1434,893
X446R5U,1500,890
¶TM756T,1282,890
GQEST3Q,1703,887
JGPPU4W,1685,887
^QT[|+O,1181,885
A2UVZYM,927,883
^__TAKE,1501,882
WXGKYWM,1036,881
A=R8?ZE,2881,876
BQRFQT9,2337,874
C9UDW7B,1261,873
A:GX+)¶,1457,867
8JY4TBC,1562,866
¶R}S|$R,1306,866
Q6XKQS8,1388,865
*$;A{VG,755,862
576RR4W,1707,861
NKMWRHQ,1826,859
A==6Z*Q,829,858
¶6X(_2M,1445,858
A=>KL_@,799,854
AFGKDUX,1830,848
YJ3RTT9,958,846
AQKRRA2,1586,844
RJJNV61,1627,843
88YM461,1505,842
N3N4DDF,1436,838
*;;=:.S,934,831
