anno,count
2000,13031
2001,22725
2002,31616
2003,39071
2004,46520
2005,59417
2006,65984
2007,69305
2008,84055
2009,88147
2010,71650
2011,71868
2012,78214
2013,90017
2014,94272
2015,94140
2016,94326
2017,101050
